Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by SEXP Sex"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"SEXP Sex","Male","Female","Total",
"Lyneham",2486,2628,5114,
"O'Connor (ACT)",2672,2803,5477,
"Turner",2071,1977,4049,
"Watson",2830,3034,5865,
"Black Mountain",0,0,0,
"Campbell",1592,1631,3220,
"Duntroon",1255,524,1774,
"Parkes (ACT) - North",0,0,0,
"Reid",895,739,1640,
"Russell",0,0,0,
"Deakin",1284,1589,2874,
"Forrest",755,857,1609,
"Griffith (ACT)",2249,2327,4576,
"Lake Burley Griffin",0,0,0,
"Narrabundah",2848,3116,5956,
"Parkes (ACT) - South",0,0,4,
"Red Hill (ACT)",1640,1536,3169,
"Yarralumla",1355,1537,2888,
"Barton",716,717,1436,
"Fyshwick",44,14,54,
"Kingston (ACT)",2183,2239,4425,
"Banks",2384,2584,4967,
"Bonython",1813,1971,3783,
"Calwell",2777,2981,5761,
"Chisholm",2563,2560,5118,
"Conder",2485,2573,5059,
"Fadden",1461,1489,2953,
"Gilmore",1421,1329,2751,
"Gordon (ACT)",3666,3950,7610,
"Gowrie (ACT)",1468,1585,3055,
"Greenway",925,965,1892,
"Isabella Plains",2113,2288,4403,
"Kambah",7316,7583,14900,
"Macarthur",714,716,1426,
"Monash",2563,2871,5428,
"Mount Taylor",0,5,0,
"Oxley (ACT)",837,855,1697,
"Richardson",1514,1495,3008,
"Theodore",1880,1924,3799,
"Tuggeranong",12,7,22,
"Wanniassa",3721,3789,7511,
"Tuggeranong - West",8,4,12,
"Chapman",1314,1369,2687,
"Duffy",1548,1618,3162,
"Fisher",1456,1549,3000,
"Holder",1264,1345,2604,
"Rivett",1517,1672,3190,
"Stirling",1005,1130,2134,
"Waramanga",1290,1340,2627,
"Weston",1703,1872,3580,
"Scrivener",0,0,4,
"Chifley",1186,1219,2407,
"Curtin",2502,2729,5234,
"Farrer",1587,1638,3224,
"Garran",1695,1800,3499,
"Hughes",1400,1589,2993,
"Isaacs",1099,1242,2345,
"Lyons (ACT)",1561,1530,3089,
"Mawson",1582,1669,3254,
"O'Malley",492,499,990,
"Pearce",1291,1286,2582,
"Phillip",1415,1520,2935,
"Torrens",1097,1108,2206,
"Arboretum",0,3,10,
"Coombs",892,914,1810,
"Denman Prospect",0,0,0,
"Molonglo",0,0,0,
"Molonglo - North",4,0,5,
"Wright",1337,1421,2755,
"ACT - South West",294,263,561,
"Namadgi",20,16,41,
"Migratory - Offshore - Shipping (ACT)",0,0,0,
"No Usual Address (ACT)",313,232,541,
"Total",3881751,3995872,7877622,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
