Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by HSCP Highest Year of School Completed"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HSCP Highest Year of School Completed","Year 12 or equivalent","Year 11 or equivalent","Year 10 or equivalent","Year 9 or equivalent","Year 8 or below","Did not go to school","Not stated","Not applicable","Total",
"SA2 (UR)",
"Hurstville",14164,699,1883,689,970,481,1250,3471,23613,
"Mortdale - Penshurst",12705,940,3048,896,830,198,1164,4126,23907,
"Narwee - Beverly Hills",7032,474,1694,576,650,248,768,2344,13781,
"Oatley - Hurstville Grove",6861,515,1698,448,338,87,440,2222,12614,
"Peakhurst - Lugarno",8189,723,3163,997,647,126,828,3256,17937,
"Riverwood",5392,485,1365,521,649,264,838,1774,11277,
"South Hurstville - Blakehurst",13741,881,2590,806,832,299,946,3966,24070,
"Arncliffe - Bardwell Valley",12357,847,2145,519,792,348,1463,2974,21443,
"Bexley",13472,947,2995,812,1244,394,1877,4727,26480,
"Kingsgrove (South) - Bardwell Park",6263,478,1582,445,754,208,607,2268,12615,
"Kogarah",6626,376,996,242,400,120,696,1857,11315,
"Kogarah Bay - Carlton - Allawah",8727,587,1808,500,657,213,773,2703,15965,
"Monterey - Brighton-le-Sands - Kyeemagh",6751,574,1871,461,725,164,1179,2241,13972,
"Rockdale - Banksia",11294,648,1912,518,835,261,1717,2775,19960,
"Sans Souci - Ramsgate",7254,651,2710,705,787,142,1076,2656,15976,
"Concord - Mortlake - Cabarita",11509,803,2843,724,900,197,1030,3734,21742,
"Concord West - North Strathfield",16333,642,1576,486,508,255,1373,3669,24850,
"Drummoyne - Rodd Point",9943,585,2030,569,655,121,1241,3185,18326,
"Five Dock - Abbotsford",10558,671,2577,652,953,201,1320,3516,20440,
"Balmain",9489,460,1163,300,190,37,1312,2736,15686,
"Leichhardt - Annandale",15388,771,2164,574,598,124,1825,4953,26388,
"Lilyfield - Rozelle",8133,439,1156,277,290,55,1055,2581,13991,
"Ashfield",15173,678,1928,600,939,357,1781,3033,24497,
"Burwood - Croydon",15570,746,1774,655,1028,497,1375,3005,24653,
"Canterbury (North) - Ashbury",5607,341,1129,277,609,153,597,1749,10449,
"Croydon Park - Enfield",8939,611,2111,526,895,285,896,2967,17222,
"Dulwich Hill - Lewisham",9618,583,1489,389,710,227,1234,2555,16809,
"Haberfield - Summer Hill",7502,423,1265,341,748,112,805,2288,13474,
"Homebush",10142,450,887,276,347,191,1430,2486,16211,
"Strathfield",16573,636,1648,541,668,302,1513,3137,25016,
"Strathfield South",1940,129,407,100,117,30,187,637,3542,
"Chatswood (East) - Artarmon",18512,758,1556,564,513,213,1564,5012,28683,
"Chatswood (West) - Lane Cove North",13548,641,1359,400,241,108,973,3591,20857,
"Lane Cove - Greenwich",16542,916,1941,609,352,69,1132,5179,26733,
"St Leonards - Naremburn",7078,263,564,129,134,31,695,1600,10500,
"Willoughby - Castle Cove - Northbridge",14685,853,1926,574,492,119,1008,5811,25463,
"Asquith - Mount Colah",9408,798,2643,636,270,75,566,3894,18291,
"Berowra - Brooklyn - Cowan",5526,567,2041,445,181,18,364,2558,11699,
"Normanhurst - Thornleigh - Westleigh",10242,735,2089,569,278,92,677,3856,18531,
"Hornsby - East",7435,321,911,253,228,92,441,2108,11798,
"Hornsby - West",5836,389,1215,300,204,64,589,2085,10684,
"Waitara - Wahroonga (West)",5733,272,726,198,153,52,524,1947,9602,
"Gordon - Killara",13591,744,1216,516,272,75,953,3957,21328,
"Lindfield - Roseville",14331,804,1384,518,261,69,861,4916,23147,
"Pymble",10037,542,1058,385,175,38,489,3636,16354,
"St Ives",12289,799,1607,533,250,54,642,4280,20456,
"Turramurra",11281,771,1722,551,207,48,931,3752,19267,
"Wahroonga (East) - Warrawee",10604,702,1504,499,211,43,837,3413,17822,
"Cremorne - Cammeray",12605,581,1227,246,140,22,1217,3052,19084,
"Crows Nest - Waverton",12620,495,1035,217,123,31,1166,2340,18026,
"Mosman",17796,1032,1889,557,223,43,1925,5014,28476,
"Neutral Bay - Kirribilli",12388,510,1060,225,145,34,1568,1924,17852,
"North Sydney - Lavender Bay",7506,299,569,161,73,31,1006,1064,10703,
"Balgowlah - Clontarf - Seaforth",11323,768,1756,471,213,28,832,4791,20188,
"Manly - Fairlight",13807,731,1689,421,195,17,1768,3081,21704,
"Avalon - Palm Beach",6602,653,1798,358,132,10,554,2276,12374,
"Bayview - Elanora Heights",5385,463,1687,361,181,17,703,1948,10745,
"Newport - Bilgola",7068,665,1882,362,140,12,467,2582,13186,
"Warriewood - Mona Vale",11392,1131,3888,869,412,43,1447,4948,24134,
"Beacon Hill - Narraweena",6278,658,2253,596,502,107,683,2794,13882,
"Cromer",3362,376,1284,351,178,20,350,1563,7485,
"Dee Why - North Curl Curl",13391,1030,3170,727,549,183,1539,4354,24949,
"Forestville - Killarney Heights",6635,507,1546,452,265,49,390,2950,12796,
"Frenchs Forest - Belrose",12615,1115,3605,871,468,68,955,5470,25171,
"Freshwater - Brookvale",11699,794,2269,527,357,66,1168,4095,20978,
"Manly Vale - Allambie Heights",8476,688,2119,520,291,57,834,3876,16870,
"Narrabeen - Collaroy",12038,1141,3967,979,468,48,1727,4409,24771,
"Terrey Hills - Duffys Forest",1690,184,630,152,70,16,192,719,3648,
"Camden - Ellis Lane",4534,651,3145,789,371,27,853,2589,12963,
"Elderslie - Harrington Park",7596,1148,4593,1163,473,63,796,5142,20980,
"Mount Annan - Currans Hill",10241,1636,6311,1507,629,57,924,7264,28576,
"Bradbury - Wedderburn",5851,1126,4304,1256,756,123,1102,4450,18962,
"Campbelltown - Woodbine",7192,915,3451,1086,685,121,1278,3456,18194,
"Claymore - Eagle Vale - Raby",6838,1188,4551,1258,693,177,1148,4541,20405,
"Holsworthy Military Area",0,0,0,0,0,0,0,0,0,
"Ingleburn - Denham Court",8627,934,3488,890,580,134,1218,4118,19985,
"Leumeah - Minto Heights",5743,902,3916,1160,585,89,857,3285,16541,
"Macquarie Fields - Glenfield",9583,994,3674,1212,893,186,1763,5257,23556,
"Minto - St Andrews",7839,1022,3699,1036,748,196,952,4397,19887,
"Rosemeadow - Glen Alpine",7241,1162,4500,1288,688,137,1359,4505,20876,
"Bargo",1486,321,1696,448,212,17,352,1218,5740,
"Douglas Park - Appin",3194,475,2440,529,216,22,516,2236,9625,
"Picton - Tahmoor - Buxton",4886,998,4448,1104,540,48,1204,3567,16786,
"The Oaks - Oakdale",2792,454,2432,571,274,18,491,1957,8997,
"Blackheath - Megalong Valley",2520,290,1055,274,115,14,408,885,5560,
"Blaxland - Warrimoo - Lapstone",8642,950,3751,790,293,18,667,3831,18936,
"Blue Mountains - North",4,0,4,0,0,0,0,0,12,
"Katoomba - Leura",6135,683,2373,603,345,45,1158,1886,13222,
"Lawson - Hazelbrook - Linden",4816,593,2340,555,239,9,462,2245,11253,
"Springwood - Winmalee",9355,1127,4541,1091,457,37,827,4197,21633,
"Wentworth Falls",2846,300,1112,284,131,16,387,1001,6077,
"Blue Mountains - South",0,0,0,0,0,0,0,0,5,
"Cambridge Park",4670,921,4272,1103,593,63,737,3284,15644,
"Castlereagh - Cranebrook",8217,1282,5378,1312,681,86,1170,5598,23724,
"Emu Plains - Leonay",5090,747,3408,852,456,46,802,2823,14223,
"Glenmore Park - Regentville",8192,1196,4597,984,434,65,682,5063,21203,
"Jamisontown - South Penrith",5700,965,4235,1175,604,52,975,3577,17288,
"Kingswood - Werrington",7183,1000,3988,1106,695,109,1212,4289,19577,
"Mulgoa - Luddenham - Orchard Hills",3326,460,2207,526,358,41,545,2079,9541,
"Penrith",4657,744,2900,895,662,46,1206,2183,13295,
"Warragamba - Silverdale",1460,314,1487,329,182,8,279,1141,5195,
"Richmond - Clarendon",4506,855,3429,990,615,45,994,2413,13839,
"Windsor - Bligh Park",4538,971,4095,1069,588,49,808,3214,15330,
"Yarramundi - Londonderry",1518,314,1959,502,331,20,1428,1311,7376,
"Erskine Park",2414,390,1651,351,147,20,220,1244,6440,
"St Clair",7068,1153,4756,1047,650,116,957,4144,19895,
"Colyton - Oxley Park",3613,669,2646,763,581,115,774,2424,11595,
"St Marys - North St Marys",4937,872,3371,1056,821,129,1565,3314,16074,
"Homebush Bay - Silverwater",10344,455,1127,255,190,105,3290,2958,18733,
"Rookwood Cemetery",0,0,0,3,0,0,0,0,0,
"Auburn - Central",8045,593,1515,582,1175,903,1006,3350,17175,
"Auburn - North",5778,341,732,276,724,739,774,1960,11325,
"Auburn - South",3627,370,934,301,588,353,465,1851,8487,
"Berala",4252,346,1015,366,589,379,363,1593,8898,
"Lidcombe",11669,611,1602,537,820,565,1236,2945,19988,
"Regents Park",2307,220,617,224,310,156,238,991,5067,
"Carlingford",15916,972,2713,913,521,237,966,5122,27359,
"Ermington - Rydalmere",10494,868,2818,852,744,361,1063,4232,21423,
"Oatlands - Dundas Valley",9429,643,2128,636,476,193,912,3361,17788,
"Chester Hill - Sefton",6946,810,2635,954,1121,560,1476,3958,18461,
"Fairfield - East",5734,679,1986,686,1107,664,1418,3244,15514,
"Granville - Clyde",9588,776,2334,743,1109,683,1421,4167,20830,
"Greystanes - Pemulwuy",10895,1050,4782,1175,1190,307,1204,5714,26307,
"Guildford - South Granville",7667,824,2759,945,1293,702,1629,5126,20951,
"Guildford West - Merrylands West",8192,868,3151,981,1174,556,1277,4518,20722,
"Merrylands - Holroyd",12582,1124,3697,1064,1619,838,1508,6013,28452,
"Smithfield Industrial",5,4,0,0,0,3,0,0,10,
"Yennora Industrial",11,0,3,0,0,0,0,0,14,
"North Parramatta",12311,703,2113,591,538,333,1926,3713,22232,
"North Rocks",4177,303,1065,286,178,35,211,1620,7878,
"Northmead",11220,555,1848,539,383,129,1408,4307,20383,
"Parramatta - Rosehill",18173,621,1634,451,539,377,2413,5043,29243,
"Toongabbie - Constitution Hill",10215,921,3499,1042,819,182,1087,4176,21936,
"Winston Hills",5177,422,1784,413,260,51,294,2373,10774,
"Pendle Hill - Girraween",6019,472,1529,424,562,167,792,2867,12842,
"Wentworthville - Westmead",8475,430,1419,437,523,196,853,3267,15599,
"Epping - North Epping",17447,831,2048,698,366,157,816,4731,27093,
"Pennant Hills - Cheltenham",12122,781,1948,582,239,84,807,3935,20495,
"Eastwood - Denistone",15701,758,2010,680,581,243,963,4113,25045,
"Gladesville - Huntleys Point",7955,509,1603,481,440,98,746,2582,14409,
"Hunters Hill - Woolwich",5481,464,1030,383,206,29,737,2015,10341,
"Macquarie Park - Marsfield",14489,544,1498,495,433,149,1346,2775,21728,
"North Ryde - East Ryde",6648,424,1518,440,427,135,468,2246,12311,
"West Ryde - Meadowbank",12222,551,1660,448,452,191,743,3112,19375,
"Putney",2190,147,558,139,113,29,147,809,4143,
"Ryde",15220,884,3055,781,904,245,1502,4580,27174,
"Ashcroft - Busby - Miller",4645,902,2871,1233,1192,543,1762,4198,17335,
"Austral - Greendale",2440,373,2056,613,786,203,800,1655,8918,
"Cobbitty - Leppington",6561,785,3500,812,610,124,1254,4255,17890,
"Badgerys Creek",19,0,15,7,0,6,9,12,59,
"Cecil Hills",3239,323,1035,246,284,156,302,1437,7015,
"Green Valley",5273,599,1722,500,751,463,566,2635,12514,
"Hinchinbrook",5464,547,1744,453,514,347,435,2792,12295,
"Hoxton Park - Carnes Hill - Horningsea Park",5042,546,1569,411,419,194,420,2992,11588,
"West Hoxton - Middleton Grange",6682,657,1995,467,468,245,624,4034,15187,
"Bonnyrigg Heights - Bonnyrigg",6578,741,2086,722,1163,920,677,3096,15980,
"Bossley Park - Abbotsbury",7702,816,3187,941,1462,601,779,3338,18834,
"Cabramatta - Lansvale",9685,1127,2729,1237,2168,1810,1522,4431,24708,
"Cabramatta West - Mount Pritchard",6370,798,2434,906,1267,838,1021,3559,17188,
"Canley Vale - Canley Heights",8257,945,2460,1047,1795,1305,1018,3997,20819,
"Edensor Park",4163,424,1449,448,727,441,356,1770,9772,
"Fairfield",6917,776,1850,908,1698,1155,1013,3385,17704,
"Fairfield - West",7129,853,2545,1055,1678,972,976,3883,19088,
"Greenfield Park - Prairiewood",3406,337,1138,423,701,416,334,1583,8336,
"Horsley Park - Kemps Creek",1389,169,1007,247,368,71,413,759,4426,
"Smithfield - Wetherill Park",6567,766,2886,965,1544,737,1107,3472,18045,
"St Johns Park - Wakeley",4527,429,1433,466,1068,618,475,1844,10866,
"Wetherill Park Industrial",17,6,7,0,5,4,0,0,36,
"Casula",6760,684,2270,616,700,239,1020,3369,15661,
"Chipping Norton - Moorebank",7933,796,3375,821,700,199,765,4146,18748,
"Holsworthy - Wattle Grove",9434,1054,3389,708,511,66,848,4692,20706,
"Liverpool",10858,1040,2916,1065,1717,764,3096,5718,27172,
"Lurnea - Cartwright",3660,605,1790,727,799,331,1026,2744,11686,
"Prestons - Edmondson Park",7934,796,2230,563,525,241,766,4535,17580,
"Warwick Farm",2322,245,661,242,330,129,816,1052,5798,
"Gymea - Grays Point",8018,791,3371,786,349,46,626,3485,17479,
"Miranda - Yowie Bay",7919,795,3605,895,529,76,1101,3318,18230,
"Sylvania - Taren Point",7031,706,3032,783,504,78,1024,2781,15940,
"Caringbah",5054,547,2421,545,276,48,684,2192,11764,
"Caringbah South",5442,532,2379,543,253,22,441,2446,12058,
"Cronulla - Kurnell - Bundeena",11177,1113,4733,963,362,37,1679,3427,23487,
"Lilli Pilli - Port Hacking - Dolans Bay",1524,135,581,146,39,0,93,634,3149,
"Woolaware - Burraneer",3691,353,1403,303,147,15,285,1533,7728,
"Heathcote - Waterfall",2529,310,1571,410,155,8,253,1271,6504,
"Illawong - Alfords Point",5215,458,1978,404,288,55,257,1714,10366,
"Menai - Lucas Heights - Woronora",9664,1035,4251,860,475,73,684,4094,21128,
"Oyster Bay - Como - Jannali",10025,937,3571,840,415,50,720,4693,21254,
"Royal National Park",11,0,0,0,0,0,7,9,24,
"Sutherland - Kirrawee",9608,944,3839,955,505,75,1213,3729,20874,
"Engadine",6542,778,3923,868,325,23,533,3991,16992,
"Loftus - Yarrawarrah",3073,360,1628,342,102,8,183,1550,7247,
"Woronora Heights",1694,192,815,136,38,3,80,679,3646,
"Migratory - Offshore - Shipping (NSW)",125,28,92,33,25,9,64,39,419,
"No Usual Address (NSW)",4168,632,2159,727,427,69,3373,741,12288,
"Aranda",1513,72,152,50,32,5,90,486,2397,
"Belconnen",4721,178,392,107,90,19,570,562,6651,
"Bruce",5168,166,315,99,39,26,535,649,6996,
"Charnwood",1304,163,484,115,102,17,162,638,2979,
"Cook",1738,77,239,60,61,13,113,509,2804,
"Dunlop",3373,360,994,225,149,32,224,1843,7199,
"Evatt",2643,249,711,177,134,18,317,1084,5329,
"Florey",2590,202,561,198,145,21,207,848,4769,
"Flynn (ACT)",1735,168,433,115,63,6,125,703,3355,
"Fraser",1038,84,297,73,37,3,84,414,2027,
"Giralang",1744,133,397,102,90,13,128,697,3312,
"Gooromon",0,0,0,0,0,0,0,0,10,
"Hawker",1787,120,249,78,65,12,105,550,2956,
"Higgins",1510,123,439,103,92,14,163,623,3069,
"Holt",2161,251,705,197,151,10,281,866,4623,
"Kaleen",4044,261,859,238,216,44,315,1296,7270,
"Latham",1763,155,565,126,84,17,162,779,3637,
"Lawson",78,5,13,3,4,0,3,44,142,
"Macgregor (ACT)",3554,302,802,175,91,31,187,1660,6794,
"Macquarie",1545,121,269,73,69,11,109,510,2703,
"McKellar",1470,111,324,94,99,20,138,478,2749,
"Melba",1620,134,403,108,70,21,134,655,3148,
"Page",1556,107,369,101,93,10,292,485,3023,
"Scullin",1524,130,337,83,72,19,164,600,2931,
"Spence",1295,138,306,104,68,6,122,546,2584,
"Weetangera",1571,78,217,60,47,8,85,511,2575,
"Molonglo Corridor",8,0,0,0,0,0,0,0,14,
"West Belconnen",3,0,0,3,0,0,3,3,16,
"Hume",3,0,0,0,0,0,420,0,424,
"Kowen",13,0,3,0,0,0,8,16,39,
"Canberra East",253,52,183,66,41,3,173,62,837,
"Canberra Airport",53,15,9,0,0,0,5,22,100,
"Majura",77,10,26,6,4,0,27,24,175,
"Amaroo",2841,280,627,153,112,20,172,1509,5708,
"Bonner",3404,243,486,117,73,17,227,2152,6730,
"Casey",3177,201,489,112,64,24,232,1466,5759,
"Crace",2770,109,236,59,25,16,158,1084,4456,
"Forde",2295,149,327,86,40,13,127,1283,4307,
"Franklin",4038,182,368,91,72,36,225,1401,6420,
"Gungahlin",3584,243,517,122,84,42,340,1210,6131,
"Hall",138,10,53,5,5,0,10,54,276,
"Harrison",4584,216,460,132,75,34,214,1979,7691,
"Mitchell",4,0,0,0,0,0,0,0,3,
"Ngunnawal",5477,451,1165,313,195,29,447,2405,10486,
"Nicholls",3719,352,772,216,132,20,346,1309,6862,
"Palmerston",2990,226,648,174,132,32,246,1073,5529,
"Gungahlin - East",0,0,0,0,0,0,0,0,0,
"Gungahlin - West",0,0,0,0,0,0,0,0,0,
"Jacka",350,14,67,10,6,4,9,203,666,
"Kenny",3,0,0,0,0,0,0,0,10,
"Moncrieff",46,4,8,0,0,4,10,31,101,
"Taylor",0,0,0,0,0,0,0,0,0,
"Throsby",0,0,0,0,0,0,0,0,0,
"Acton",1896,18,17,3,5,3,136,13,2086,
"Ainslie",3080,159,389,156,130,19,346,905,5183,
"Braddon",4184,107,220,74,46,24,575,272,5500,
"Civic",3557,68,95,34,19,8,400,105,4275,
"Dickson",1432,49,144,37,45,8,141,294,2148,
"Downer",2124,103,331,106,106,34,234,617,3660,
"Hackett",1801,84,195,76,71,4,127,634,2996,
"Lyneham",3266,152,408,121,154,21,368,633,5114,
"O'Connor (ACT)",3594,128,334,102,108,12,293,910,5477,
"Turner",2976,95,161,47,35,14,409,313,4049,
"Watson",3561,177,429,140,104,21,317,1110,5865,
"Black Mountain",0,0,0,0,0,0,0,0,0,
"Campbell",2088,88,229,49,39,4,224,497,3220,
"Duntroon",1460,25,38,4,0,0,116,141,1774,
"Parkes (ACT) - North",5,0,0,0,0,0,0,0,0,
"Reid",1045,50,131,38,25,13,177,161,1640,
"Russell",0,0,0,0,0,0,0,0,0,
"Deakin",1786,105,199,68,50,4,122,536,2874,
"Forrest",1079,47,95,20,15,0,137,215,1609,
"Griffith (ACT)",2871,145,292,105,62,13,431,649,4576,
"Lake Burley Griffin",0,0,0,0,0,0,0,0,0,
"Narrabundah",3152,220,571,172,150,27,618,1051,5956,
"Parkes (ACT) - South",0,0,0,0,0,0,5,0,4,
"Red Hill (ACT)",1840,110,238,90,49,10,210,619,3169,
"Yarralumla",1894,87,225,71,30,4,167,413,2888,
"Barton",1088,45,70,7,5,0,119,105,1436,
"Fyshwick",14,3,20,0,4,0,8,5,54,
"Kingston (ACT)",3308,123,230,50,30,3,349,334,4425,
"Banks",2236,288,810,200,80,22,194,1141,4967,
"Bonython",2004,186,576,105,93,12,119,692,3783,
"Calwell",2874,300,850,196,109,16,281,1131,5761,
"Chisholm",2378,288,919,203,116,9,196,1005,5118,
"Conder",2392,275,849,173,93,13,230,1025,5059,
"Fadden",1725,134,342,78,58,9,84,524,2953,
"Gilmore",1254,127,453,124,74,13,135,573,2751,
"Gordon (ACT)",3690,412,1269,290,162,28,302,1464,7610,
"Gowrie (ACT)",1540,166,428,110,73,8,129,609,3055,
"Greenway",1140,75,256,62,30,7,110,214,1892,
"Isabella Plains",1973,206,784,165,93,19,224,945,4403,
"Kambah",7380,726,2136,556,394,45,693,2969,14900,
"Macarthur",813,60,170,49,10,0,61,264,1426,
"Monash",2712,276,822,223,139,13,364,890,5428,
"Mount Taylor",0,0,0,0,0,0,0,0,0,
"Oxley (ACT)",833,87,273,62,34,6,65,326,1697,
"Richardson",1224,175,590,143,96,12,125,628,3008,
"Theodore",1802,218,644,132,56,3,134,812,3799,
"Tuggeranong",12,0,3,0,0,0,6,0,22,
"Wanniassa",3829,369,1066,272,159,28,315,1471,7511,
"Tuggeranong - West",4,0,3,0,0,0,0,4,12,
"Chapman",1622,103,230,70,62,5,88,503,2687,
"Duffy",1692,133,320,105,58,6,133,698,3162,
"Fisher",1579,137,330,83,70,4,166,633,3000,
"Holder",1478,78,280,81,56,3,106,522,2604,
"Rivett",1643,123,392,115,81,6,163,678,3190,
"Stirling",1083,90,245,84,82,11,158,385,2134,
"Waramanga",1415,110,263,72,96,18,123,535,2627,
"Weston",1878,132,340,104,83,8,354,677,3580,
"Scrivener",4,0,0,0,0,0,0,0,4,
"Chifley",1417,94,215,53,75,8,115,425,2407,
"Curtin",3075,171,447,149,122,8,233,1023,5234,
"Farrer",1872,121,357,89,69,9,113,595,3224,
"Garran",1956,92,259,101,83,7,303,705,3499,
"Hughes",1742,82,226,72,55,17,212,577,2993,
"Isaacs",1424,100,269,65,57,14,83,346,2345,
"Lyons (ACT)",1725,149,272,97,85,18,256,479,3089,
"Mawson",1929,131,337,81,55,11,161,552,3254,
"O'Malley",577,38,92,10,32,3,58,170,990,
"Pearce",1487,102,258,68,51,10,142,467,2582,
"Phillip",1979,74,195,32,28,3,242,381,2935,
"Torrens",1254,87,218,68,41,7,90,434,2206,
"Arboretum",0,0,0,0,0,0,6,0,10,
"Coombs",1022,51,115,19,4,3,111,469,1810,
"Denman Prospect",0,0,0,0,0,0,0,0,0,
"Molonglo",0,0,0,0,0,0,0,0,0,
"Molonglo - North",0,0,0,0,0,0,0,0,5,
"Wright",1794,87,128,24,15,6,199,507,2755,
"ACT - South West",264,25,85,10,3,0,39,126,561,
"Namadgi",16,4,3,4,0,0,3,7,41,
"Migratory - Offshore - Shipping (ACT)",0,0,0,0,0,0,0,0,0,
"No Usual Address (ACT)",258,17,87,25,15,0,107,37,541,
"Total",3400700,369849,1357680,393808,289384,62957,542438,1460811,7877622,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
