Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Families, Place of Enumeration"
"SA2 by HOSD Housing Suitability"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"HOSD Housing Suitability","Four or more extra bedrooms needed","Three extra bedrooms needed","Two extra bedrooms needed","One extra bedroom needed","No bedrooms needed or spare","One bedroom spare","Two bedrooms spare","Three bedrooms spare","Four or more bedrooms spare","Unable to determine","Not stated","Not applicable","Total",
"SA2",
"Lalor Park - Kings Langley",15,19,85,388,1759,2842,2559,858,144,324,234,345,9566,
"Seven Hills - Toongabbie",33,39,174,548,1852,2446,2264,614,102,281,230,322,8890,
"Blacktown (South)",9,27,69,304,980,1344,1108,252,43,143,123,175,4574,
"Blacktown (West)",24,35,134,436,1247,1579,1362,352,57,178,166,217,5792,
"Glenwood",12,20,35,143,613,1632,1509,746,74,222,65,66,5125,
"Parklea - Kellyville Ridge",5,4,36,230,1185,3260,3228,1429,161,375,167,308,10379,
"Riverstone - Marsden Park",11,11,61,225,841,1785,1856,798,90,217,171,368,6446,
"Acacia Gardens",0,3,6,31,198,421,353,162,11,50,19,25,1278,
"Quakers Hill",5,16,66,332,1296,2564,2126,765,83,311,136,198,7896,
"Bidwill - Hebersham - Emerton",27,71,169,536,1450,1718,1532,228,35,286,219,452,6725,
"Glendenning - Dean Park",7,11,49,201,629,880,666,118,7,88,43,92,2794,
"Hassall Grove - Plumpton",9,26,137,493,1563,1885,1488,390,51,257,128,241,6677,
"Lethbridge Park - Tregear",6,32,142,521,1499,2135,1846,398,46,278,229,510,7645,
"Mount Druitt - Whalan",22,77,246,804,2070,2203,1432,282,47,261,243,432,8113,
"Prospect Reservoir",0,0,0,0,0,0,0,0,0,0,0,3,3,
"Rooty Hill - Minchinbury",14,42,128,481,1413,1979,1720,508,74,281,150,245,7030,
"Banksmeadow",0,0,0,0,5,0,0,0,0,0,0,0,5,
"Botany",5,8,58,268,1349,1328,579,100,35,184,87,228,4230,
"Mascot - Eastlakes",28,72,269,1151,3408,2908,1101,241,48,332,251,521,10321,
"Pagewood - Hillsdale - Daceyville",3,12,57,351,1438,1456,621,124,32,184,123,318,4726,
"Port Botany Industrial",0,0,0,0,0,0,0,0,0,0,0,0,3,
"Sydney Airport",0,0,0,0,0,0,0,0,0,0,0,7,9,
"Marrickville",27,53,174,804,3779,3508,1290,259,66,404,296,747,11414,
"Petersham - Stanmore",4,6,57,392,3242,2614,1100,232,56,384,242,854,9178,
"Sydenham - Tempe - St Peters",10,13,46,202,931,1123,483,76,12,128,84,221,3338,
"Darlinghurst",5,11,48,264,2897,1294,299,59,33,150,180,1010,6243,
"Erskineville - Alexandria",3,11,47,398,3338,2563,548,80,10,281,166,623,8057,
"Glebe - Forest Lodge",15,18,127,562,3926,2548,869,155,40,331,333,1086,10004,
"Newtown - Camperdown - Darlington",11,23,89,591,5062,2807,890,181,46,432,264,1153,11542,
"Potts Point - Woolloomooloo",4,6,61,490,5929,2282,503,58,28,247,274,1721,11600,
"Pyrmont - Ultimo",56,138,424,1068,3847,2252,594,37,20,292,247,1147,10117,
"Redfern - Chippendale",30,48,217,849,4656,2651,623,118,59,343,382,1406,11383,
"Surry Hills",24,47,126,448,3888,1964,458,92,53,272,210,1101,8687,
"Sydney - Haymarket - The Rocks",233,353,978,1709,3895,2019,508,36,23,294,433,2370,12847,
"Waterloo - Beaconsfield",37,89,321,1485,6810,4447,769,90,15,519,446,1685,16726,
"Bondi - Tamarama - Bronte",0,11,91,326,2581,2532,995,254,66,438,193,859,8355,
"Bondi Beach - North Bondi",10,14,64,458,3365,2737,851,193,37,457,240,1190,9621,
"Bondi Junction - Waverly",6,12,67,343,2319,2130,996,211,34,272,190,857,7425,
"Centennial Park",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Double Bay - Bellevue Hill",5,8,32,297,2734,3679,2098,536,222,552,250,1205,11624,
"Dover Heights",0,0,18,152,1089,1446,777,281,92,280,80,255,4482,
"Paddington - Moore Park",0,7,28,204,2496,2091,1076,253,28,281,134,741,7339,
"Rose Bay - Vaucluse - Watsons Bay",0,0,9,112,823,1350,1010,437,164,273,102,292,4573,
"Woollahra",0,0,14,83,854,1126,653,161,47,143,134,399,3609,
"Coogee - Clovelly",0,6,54,422,3490,3831,1442,374,74,538,255,914,11402,
"Malabar - La Perouse - Chifley",0,29,57,393,2226,2521,1802,554,132,413,308,630,9063,
"Kensington (NSW)",10,13,111,487,2054,1314,492,150,50,159,126,453,5417,
"Kingsford",23,53,261,762,1985,1454,746,212,83,234,189,356,6359,
"Maroubra - North",0,5,32,176,1090,1176,673,278,74,173,87,177,3939,
"Maroubra - South",0,0,23,232,1400,1656,661,132,43,220,201,332,4900,
"Maroubra - West",0,10,87,353,1314,1202,536,136,65,188,101,245,4230,
"Randwick - North",0,5,35,375,2708,2596,673,170,64,291,166,407,7491,
"Randwick - South",11,3,60,339,1838,1768,581,119,44,235,84,419,5505,
"Bass Hill - Georges Hall",26,33,151,525,1693,2113,1679,465,113,259,209,326,7597,
"Chullora",0,3,9,19,54,88,66,31,3,10,4,31,317,
"Condell Park",14,20,88,318,853,1011,796,251,57,136,102,158,3799,
"Greenacre - Mount Lewis",16,65,251,758,2227,2243,1450,378,87,344,261,418,8492,
"Padstow",14,15,57,292,1292,1902,1699,473,72,247,119,211,6390,
"Panania - Milperra - Picnic Point",10,12,74,286,1763,2834,2772,858,167,351,174,310,9614,
"Revesby",16,22,70,327,1305,1847,1519,377,56,218,144,220,6117,
"Yagoona - Birrong",21,50,215,666,2003,1896,1216,287,64,232,239,325,7208,
"Bankstown - North",30,53,206,785,1862,1706,499,142,24,208,184,414,6119,
"Bankstown - South",59,73,239,779,1489,1512,590,177,33,172,166,410,5713,
"Belmore - Belfield",22,36,159,636,2002,2295,1103,246,67,284,165,325,7338,
"Canterbury (South) - Campsie",47,116,479,1621,3888,3354,1070,268,50,392,341,573,12204,
"Kingsgrove (North) - Earlwood",9,32,113,415,1797,2875,2028,564,134,307,193,428,8895,
"Punchbowl",49,73,288,862,1938,1775,903,232,53,249,246,352,7031,
"Roselands",15,26,67,354,1233,1494,907,265,55,180,147,230,4977,
"Lakemba",62,111,340,1087,1826,1304,296,75,12,168,210,281,5774,
"Wiley Park",16,42,178,584,1124,980,217,51,25,120,128,221,3692,
"Hurstville",61,88,331,1229,2907,2177,1116,398,122,306,280,385,9396,
"Mortdale - Penshurst",13,40,161,711,2463,3309,1592,496,94,340,205,402,9823,
"Narwee - Beverly Hills",9,18,115,414,1448,1599,993,258,69,167,135,194,5412,
"Oatley - Hurstville Grove",0,9,41,168,837,1545,1193,445,99,168,84,129,4719,
"Peakhurst - Lugarno",5,9,42,227,1197,1931,1901,727,147,231,141,169,6725,
"Riverwood",14,24,117,429,1514,1485,604,118,35,133,160,235,4854,
"South Hurstville - Blakehurst",26,46,253,771,2245,2508,1686,650,236,357,169,278,9224,
"Arncliffe - Bardwell Valley",50,109,264,1000,2959,2298,922,216,58,336,273,489,8967,
"Bexley",16,53,266,953,2644,3038,1538,379,74,355,243,393,9937,
"Kingsgrove (South) - Bardwell Park",0,22,74,268,1133,1507,1044,304,66,190,95,169,4867,
"Kogarah",9,40,167,583,1450,1364,498,91,25,139,124,211,4696,
"Kogarah Bay - Carlton - Allawah",7,26,123,611,1710,2086,1016,246,56,213,134,233,6467,
"Monterey - Brighton-le-Sands - Kyeemagh",3,6,35,343,1535,2226,978,257,42,215,123,433,6184,
"Rockdale - Banksia",40,94,301,1120,2446,2131,786,158,53,276,229,422,8055,
"Sans Souci - Ramsgate",0,20,59,260,1457,2514,1513,351,90,243,163,381,7047,
"Concord - Mortlake - Cabarita",6,13,60,360,1972,2734,2070,457,102,351,138,369,8630,
"Concord West - North Strathfield",12,30,207,1185,3793,2996,1064,250,55,318,200,565,10686,
"Drummoyne - Rodd Point",0,0,30,225,1651,2953,1548,377,48,335,133,523,7828,
"Five Dock - Abbotsford",0,4,26,343,2271,3387,1476,292,56,297,146,508,8810,
"Balmain",0,9,10,195,1935,2434,1250,281,45,285,111,624,7180,
"Leichhardt - Annandale",9,10,48,457,3567,3843,1640,249,42,381,199,802,11245,
"Lilyfield - Rozelle",0,3,26,188,1833,2135,1000,157,23,219,115,471,6173,
"Ashfield",46,56,284,1121,3462,3060,846,251,62,308,413,620,10520,
"Burwood - Croydon",47,134,326,1210,3060,2408,1155,394,133,328,271,515,9977,
"Canterbury (North) - Ashbury",3,15,57,301,1094,1383,736,188,29,172,70,213,4264,
"Croydon Park - Enfield",13,14,64,377,1806,2247,1149,326,109,252,146,253,6748,
"Dulwich Hill - Lewisham",12,15,60,412,2524,2605,849,180,36,214,167,512,7574,
"Haberfield - Summer Hill",9,11,40,245,1638,1787,950,244,48,208,99,287,5568,
"Homebush",37,53,270,912,2141,1651,394,122,37,204,181,503,6505,
"Strathfield",64,123,366,1123,2265,2065,1353,695,272,391,367,452,9542,
"Strathfield South",0,4,20,88,363,395,249,50,15,78,16,61,1342,
"Chatswood (East) - Artarmon",16,49,272,1296,3987,3368,1357,446,92,372,249,748,12238,
"Chatswood (West) - Lane Cove North",10,18,81,543,2697,2917,1268,395,106,296,152,402,8872,
"Lane Cove - Greenwich",3,13,29,298,2452,3499,2264,906,251,439,164,453,10772,
"St Leonards - Naremburn",6,0,43,278,1900,1453,599,81,18,133,77,395,4982,
"Willoughby - Castle Cove - Northbridge",0,8,31,252,1617,2963,2372,954,227,479,128,355,9384,
"Asquith - Mount Colah",7,0,30,179,991,1937,1916,830,130,291,84,137,6543,
"Berowra - Brooklyn - Cowan",0,0,16,68,566,1186,1317,553,103,222,63,98,4200,
"Normanhurst - Thornleigh - Westleigh",6,0,22,145,1062,1870,1886,909,156,280,102,153,6586,
"Hornsby - East",13,14,96,564,1966,1790,301,68,22,138,96,174,5247,
"Hornsby - West",4,8,23,162,982,1269,939,329,71,175,61,214,4236,
"Waitara - Wahroonga (West)",0,6,43,359,1333,1146,564,166,37,122,70,165,4017,
"Gordon - Killara",5,6,36,346,1504,2157,1985,924,319,381,96,267,8025,
"Lindfield - Roseville",0,8,40,235,1401,2488,2259,1042,296,375,112,256,8520,
"Pymble",0,5,20,96,756,1543,1655,921,263,265,79,151,5753,
"St Ives",5,0,15,130,1000,2095,2279,1203,307,334,79,195,7638,
"Turramurra",0,3,17,119,981,1973,2225,980,275,288,116,188,7159,
"Wahroonga (East) - Warrawee",0,7,23,87,722,1647,1881,1044,304,311,78,190,6292,
"Cremorne - Cammeray",3,4,35,277,2678,3283,1472,319,62,283,154,611,9176,
"Crows Nest - Waverton",4,13,32,361,3054,3128,1167,138,32,284,121,598,8933,
"Mosman",5,4,23,293,3104,3793,2458,903,230,555,214,846,12426,
"Neutral Bay - Kirribilli",3,0,38,348,3578,2799,1089,165,29,293,159,848,9351,
"North Sydney - Lavender Bay",0,0,20,226,2112,1545,725,79,13,142,104,647,5613,
"Balgowlah - Clontarf - Seaforth",5,3,17,167,1250,2430,1912,724,176,414,97,289,7481,
"Manly - Fairlight",0,6,39,381,3149,3202,1586,234,54,438,196,756,10041,
"Avalon - Palm Beach",4,0,15,103,696,1258,1296,692,158,274,95,206,4798,
"Bayview - Elanora Heights",0,6,11,68,550,1167,1189,543,157,204,82,222,4200,
"Newport - Bilgola",0,6,24,133,868,1446,1344,623,144,308,119,143,5155,
"Warriewood - Mona Vale",9,4,39,266,1799,2869,2259,766,162,413,190,477,9245,
"Beacon Hill - Narraweena",13,14,46,179,989,1495,1214,514,125,257,122,187,5152,
"Cromer",0,0,13,66,564,855,709,299,53,122,63,95,2837,
"Dee Why - North Curl Curl",9,18,151,797,3834,3587,967,302,82,377,247,618,10987,
"Forestville - Killarney Heights",0,11,16,94,761,1245,1331,616,154,196,63,113,4601,
"Frenchs Forest - Belrose",8,11,30,131,1027,2489,2749,1378,270,378,161,269,8911,
"Freshwater - Brookvale",11,13,62,363,2574,2896,1313,358,79,358,185,470,8684,
"Manly Vale - Allambie Heights",5,14,43,241,1630,1868,1332,457,127,274,126,185,6296,
"Narrabeen - Collaroy",0,8,36,318,2683,3391,1680,689,166,372,219,506,10080,
"Terrey Hills - Duffys Forest",0,0,6,23,154,306,321,221,70,67,14,69,1251,
"Camden - Ellis Lane",0,9,21,54,605,1446,1439,734,139,189,83,120,4833,
"Elderslie - Harrington Park",3,0,26,141,748,1977,2244,1325,128,316,108,236,7259,
"Mount Annan - Currans Hill",0,4,77,229,1170,2852,3160,1497,98,377,129,243,9834,
"Bradbury - Wedderburn",12,24,87,352,1249,1969,2093,551,75,296,145,326,7180,
"Campbelltown - Woodbine",9,31,73,333,1519,2413,1625,500,76,237,193,381,7371,
"Claymore - Eagle Vale - Raby",4,10,77,411,1249,1986,2017,580,69,362,140,318,7222,
"Holsworthy Military Area",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ingleburn - Denham Court",13,20,110,403,1406,2163,1857,622,118,280,160,362,7519,
"Leumeah - Minto Heights",0,7,74,328,1182,1883,1764,523,121,241,150,225,6502,
"Macquarie Fields - Glenfield",15,50,147,496,1886,2720,1936,448,55,297,218,407,8668,
"Minto - St Andrews",9,27,102,417,1372,2186,1777,443,84,283,158,241,7107,
"Rosemeadow - Glen Alpine",13,27,77,312,1319,2014,2006,767,173,331,145,320,7497,
"Bargo",0,4,16,65,295,605,595,293,68,86,42,103,2177,
"Douglas Park - Appin",6,4,8,65,334,887,955,644,117,138,51,119,3322,
"Picton - Tahmoor - Buxton",0,10,30,155,872,1801,1783,842,145,243,139,293,6305,
"The Oaks - Oakdale",6,3,18,101,413,754,890,480,101,158,66,132,3123,
"Blackheath - Megalong Valley",0,0,6,33,320,778,865,278,50,63,42,232,2678,
"Blaxland - Warrimoo - Lapstone",0,9,23,119,839,1984,2310,1106,205,265,100,174,7134,
"Blue Mountains - North",0,0,0,0,0,0,0,0,0,0,0,0,7,
"Katoomba - Leura",0,5,19,135,1040,1806,1762,517,106,183,146,519,6242,
"Lawson - Hazelbrook - Linden",0,8,6,83,743,1317,1442,506,91,178,66,166,4599,
"Springwood - Winmalee",0,6,15,125,1062,2384,2692,1185,245,343,123,204,8392,
"Wentworth Falls",0,0,5,43,282,677,952,358,52,91,45,142,2650,
"Blue Mountains - South",0,0,0,0,0,0,0,0,0,0,0,4,11,
"Cambridge Park",9,8,45,212,983,1674,1936,544,73,226,110,202,6013,
"Castlereagh - Cranebrook",8,14,46,285,1211,2330,2540,1067,144,350,141,361,8512,
"Emu Plains - Leonay",4,0,20,106,740,1379,1819,708,122,188,77,190,5355,
"Glenmore Park - Regentville",0,3,38,163,872,2016,2227,1239,105,278,101,213,7254,
"Jamisontown - South Penrith",0,7,36,199,1124,2101,2154,596,102,237,130,316,6998,
"Kingswood - Werrington",3,12,68,364,1586,2387,1982,478,72,242,160,426,7779,
"Mulgoa - Luddenham - Orchard Hills",18,3,17,87,360,802,922,541,150,137,65,150,3263,
"Penrith",0,5,44,206,1300,2265,1263,220,42,150,283,454,6232,
"Warragamba - Silverdale",0,0,8,42,268,484,512,247,59,63,39,68,1797,
"Richmond - Clarendon",0,5,34,161,940,1810,1614,429,68,171,129,269,5619,
"Windsor - Bligh Park",0,11,43,175,1098,1839,1793,486,110,216,102,277,6145,
"Yarramundi - Londonderry",10,17,21,104,326,545,494,264,74,104,51,144,2162,
"Erskine Park",0,9,22,55,352,650,580,266,39,114,37,56,2180,
"St Clair",6,17,64,337,1226,1925,2010,692,117,284,127,261,7070,
"Colyton - Oxley Park",13,10,71,248,838,1284,1216,211,35,147,119,205,4393,
"St Marys - North St Marys",3,27,91,427,1527,2010,1392,222,37,190,231,471,6633,
"Homebush Bay - Silverwater",5,10,90,545,2831,2312,619,90,3,205,112,717,7541,
"Rookwood Cemetery",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Auburn - Central",107,162,421,919,1423,1107,584,174,42,223,249,247,5646,
"Auburn - North",74,146,333,818,1216,745,170,30,10,149,184,208,4079,
"Auburn - South",27,43,115,325,724,649,423,89,36,102,98,117,2749,
"Berala",25,55,144,369,862,851,465,134,20,143,104,83,3245,
"Lidcombe",45,104,310,880,1880,1876,1070,304,70,262,254,325,7367,
"Regents Park",6,12,50,197,547,510,263,68,22,59,57,53,1849,
"Carlingford",8,18,85,526,2110,2913,2328,1100,251,393,155,248,10128,
"Ermington - Rydalmere",4,5,89,393,1936,2583,1766,436,83,254,159,274,7976,
"Oatlands - Dundas Valley",7,16,63,318,1619,2290,1486,500,83,224,156,296,7061,
"Chester Hill - Sefton",14,37,195,653,1686,1687,1108,250,37,185,166,267,6297,
"Fairfield - East",40,56,212,595,1600,1310,686,163,43,193,234,332,5461,
"Granville - Clyde",45,104,323,923,2099,1901,893,211,58,267,230,402,7463,
"Greystanes - Pemulwuy",5,18,86,334,1562,2632,2872,904,153,344,139,297,9349,
"Guildford - South Granville",50,69,235,792,2072,1683,936,196,68,251,256,478,7088,
"Guildford West - Merrylands West",26,58,201,751,1933,2264,1196,323,49,289,221,348,7654,
"Merrylands - Holroyd",51,98,318,1147,2832,3041,1497,389,73,363,296,433,10536,
"Smithfield Industrial",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Yennora Industrial",0,0,0,0,0,0,0,0,0,0,0,0,0,
"North Parramatta",9,22,161,762,2907,3234,878,156,26,236,215,732,9341,
"North Rocks",0,5,13,66,341,824,908,385,87,116,36,53,2824,
"Northmead",9,23,116,668,2554,2631,1102,297,41,244,171,424,8283,
"Parramatta - Rosehill",54,137,531,1941,4551,3103,416,75,17,337,389,1015,12568,
"Toongabbie - Constitution Hill",15,22,90,425,1608,2642,2208,527,118,297,215,295,8454,
"Winston Hills",0,5,22,75,580,1096,1250,456,83,134,42,69,3822,
"Pendle Hill - Girraween",25,28,116,417,1295,1412,786,173,24,138,126,199,4742,
"Wentworthville - Westmead",18,39,185,669,1903,1665,682,170,31,181,199,221,5965,
"Epping - North Epping",14,29,114,626,2397,3043,2129,926,217,393,184,271,10351,
"Pennant Hills - Cheltenham",3,7,30,153,1136,2146,2037,1084,262,317,107,165,7447,
"Eastwood - Denistone",20,34,134,629,2250,2781,2091,736,207,327,217,304,9722,
"Gladesville - Huntleys Point",0,0,16,206,1529,2042,1235,357,87,222,105,286,6087,
"Hunters Hill - Woolwich",0,6,0,70,601,1117,867,394,102,194,59,186,3592,
"Macquarie Park - Marsfield",18,20,110,767,3024,2969,940,306,105,238,208,420,9122,
"North Ryde - East Ryde",0,9,20,157,789,1419,1246,396,118,201,81,120,4546,
"West Ryde - Meadowbank",10,24,114,661,2994,2598,1062,257,73,210,153,268,8420,
"Putney",0,0,0,24,224,449,451,178,46,70,17,47,1503,
"Ryde",9,14,116,726,3255,3590,1818,525,113,424,210,510,11314,
"Ashcroft - Busby - Miller",30,43,145,517,1554,1589,1217,222,17,212,235,544,6334,
"Austral - Greendale",9,10,41,152,502,690,688,393,81,149,123,257,3093,
"Cobbitty - Leppington",4,5,42,139,662,1531,1858,1198,123,216,148,369,6293,
"Badgerys Creek",0,0,0,0,3,3,5,5,0,0,0,4,22,
"Cecil Hills",3,11,18,98,307,626,522,315,39,100,21,70,2119,
"Green Valley",12,38,103,283,886,1113,859,297,37,166,102,116,4007,
"Hinchinbrook",12,18,77,258,766,1128,885,372,32,167,79,98,3877,
"Hoxton Park - Carnes Hill - Horningsea Park",0,17,29,174,654,1107,919,346,31,117,85,118,3602,
"West Hoxton - Middleton Grange",0,7,46,209,693,1430,1221,551,47,188,99,190,4671,
"Bonnyrigg Heights - Bonnyrigg",31,44,161,409,1251,1418,1057,406,47,244,120,146,5336,
"Bossley Park - Abbotsbury",24,42,99,397,1116,1682,1493,668,99,281,152,138,6196,
"Cabramatta - Lansvale",90,133,479,1369,2642,2216,946,232,60,301,274,380,9121,
"Cabramatta West - Mount Pritchard",39,95,225,595,1467,1500,1148,295,52,208,183,237,6055,
"Canley Vale - Canley Heights",52,120,341,930,2005,1842,1041,253,54,241,234,246,7359,
"Edensor Park",12,30,56,234,623,913,705,356,41,129,65,61,3221,
"Fairfield",38,93,245,886,1984,1764,641,135,45,177,212,256,6481,
"Fairfield - West",28,68,209,717,1595,1631,1235,302,58,215,203,193,6455,
"Greenfield Park - Prairiewood",12,23,72,235,559,689,621,288,51,100,44,59,2754,
"Horsley Park - Kemps Creek",7,8,11,64,194,368,309,217,96,58,26,95,1454,
"Smithfield - Wetherill Park",26,42,171,489,1543,1645,1416,475,61,196,191,222,6465,
"St Johns Park - Wakeley",14,25,106,304,754,952,810,325,49,145,67,102,3645,
"Wetherill Park Industrial",0,0,0,0,0,0,0,0,0,0,0,3,6,
"Casula",8,21,82,284,1090,1483,1240,510,78,201,141,301,5437,
"Chipping Norton - Moorebank",6,17,32,256,967,1855,1990,851,129,229,145,224,6694,
"Holsworthy - Wattle Grove",0,16,34,191,1125,2208,2009,648,92,262,90,196,6878,
"Liverpool",19,79,286,1212,3072,2816,959,199,51,303,332,1188,10504,
"Lurnea - Cartwright",11,21,109,375,1077,1150,800,129,16,130,181,310,4319,
"Prestons - Edmondson Park",6,17,73,218,840,1748,1424,557,52,194,104,172,5411,
"Warwick Farm",0,11,41,273,838,753,181,11,0,63,94,361,2642,
"Gymea - Grays Point",4,5,18,155,1096,2199,1833,614,130,279,95,160,6579,
"Miranda - Yowie Bay",0,9,36,281,1682,2512,1553,477,97,273,149,287,7356,
"Sylvania - Taren Point",0,5,32,159,1048,1823,1809,633,164,218,110,238,6238,
"Caringbah",3,12,29,205,1335,2011,932,166,18,180,122,257,5267,
"Caringbah South",0,0,16,73,592,1212,1460,554,105,229,77,117,4438,
"Cronulla - Kurnell - Bundeena",0,5,50,335,2843,3603,1938,515,129,409,203,753,10779,
"Lilli Pilli - Port Hacking - Dolans Bay",0,0,3,3,107,266,351,193,50,59,12,24,1063,
"Woolaware - Burraneer",0,0,0,43,518,808,771,345,80,143,52,90,2857,
"Heathcote - Waterfall",0,0,10,55,476,705,691,255,55,83,52,47,2422,
"Illawong - Alfords Point",5,4,10,61,359,919,1036,695,140,223,43,55,3555,
"Menai - Lucas Heights - Woronora",0,4,8,140,988,2130,2169,1070,174,370,87,160,7304,
"Oyster Bay - Como - Jannali",0,5,26,161,1245,2345,2232,888,157,314,102,184,7659,
"Royal National Park",0,0,0,0,3,0,4,0,0,0,0,12,12,
"Sutherland - Kirrawee",0,11,32,305,2150,3633,1534,381,58,300,190,375,8962,
"Engadine",0,6,20,146,1047,2047,1777,606,94,216,75,92,6122,
"Loftus - Yarrawarrah",0,3,7,53,362,763,861,315,57,114,31,45,2611,
"Woronora Heights",0,0,0,23,131,323,378,215,33,70,17,10,1200,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,0,0,0,0,0,0,13,13,
"Aranda",0,0,4,12,113,218,294,185,22,41,15,31,941,
"Belconnen",0,6,28,198,1288,986,243,10,3,84,69,302,3215,
"Bruce",6,3,14,93,907,681,546,202,27,97,43,123,2743,
"Charnwood",0,0,3,41,203,395,415,65,3,49,27,69,1274,
"Cook",0,0,3,20,165,424,403,130,22,29,19,49,1266,
"Dunlop",0,3,13,57,281,781,922,321,15,108,25,72,2600,
"Evatt",0,0,0,39,252,512,714,277,49,83,29,128,2089,
"Florey",0,0,7,81,266,591,607,241,23,76,39,73,1998,
"Flynn (ACT)",3,3,4,23,120,328,405,239,30,65,19,31,1266,
"Fraser",0,0,0,5,76,182,238,156,21,33,11,39,766,
"Giralang",0,3,3,33,152,330,442,188,34,46,23,44,1298,
"Gooromon",0,0,0,0,0,0,4,0,0,0,0,0,4,
"Hawker",0,0,3,38,154,331,342,218,47,41,15,38,1235,
"Higgins",0,0,0,25,190,347,410,138,16,43,24,48,1234,
"Holt",0,0,6,53,341,675,672,151,9,69,44,115,2140,
"Kaleen",4,6,14,46,353,690,931,433,75,118,49,95,2799,
"Latham",0,0,4,38,198,388,463,207,18,63,27,64,1468,
"Lawson",3,0,0,0,11,10,12,7,0,6,0,5,50,
"Macgregor (ACT)",0,6,14,61,384,837,895,238,27,95,32,75,2665,
"Macquarie",3,0,5,39,246,352,314,89,18,44,14,56,1178,
"McKellar",0,0,7,12,111,230,360,213,41,33,7,40,1055,
"Melba",0,0,4,17,149,361,361,225,30,39,23,35,1252,
"Page",6,0,10,25,207,453,381,76,9,36,37,57,1295,
"Scullin",0,0,9,40,218,364,366,97,10,35,30,61,1240,
"Spence",0,0,4,18,136,241,339,150,23,41,11,38,998,
"Weetangera",0,3,0,10,96,195,311,240,39,37,14,21,961,
"Molonglo Corridor",0,0,0,0,0,0,0,0,0,0,0,0,3,
"West Belconnen",0,0,0,0,0,5,0,0,0,0,0,0,0,
"Hume",0,0,0,0,0,0,5,0,0,0,0,0,0,
"Kowen",0,0,0,0,0,4,0,0,0,0,0,3,11,
"Canberra East",0,0,0,19,182,132,50,9,3,8,16,112,528,
"Canberra Airport",0,0,0,0,9,14,15,0,0,0,0,7,50,
"Majura",0,4,0,0,6,18,20,5,3,3,3,12,70,
"Amaroo",0,3,6,30,234,627,671,250,12,75,39,45,1992,
"Bonner",0,4,3,58,346,718,725,221,14,78,31,83,2280,
"Casey",4,0,10,42,302,678,755,227,14,72,31,94,2234,
"Crace",0,3,8,32,285,519,546,199,13,56,28,61,1757,
"Forde",0,0,4,14,140,414,548,219,18,60,16,50,1481,
"Franklin",0,3,21,119,677,751,528,197,25,91,52,103,2562,
"Gungahlin",3,3,18,126,642,617,522,215,25,78,53,149,2463,
"Hall",0,0,0,0,10,23,33,19,4,3,4,5,111,
"Harrison",4,3,29,120,665,808,721,315,13,84,39,92,2891,
"Mitchell",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ngunnawal",4,4,16,103,605,1349,1467,237,27,139,52,169,4184,
"Nicholls",3,3,8,31,188,557,849,527,76,102,17,83,2446,
"Palmerston",6,0,9,35,315,688,664,239,36,85,44,82,2200,
"Gungahlin - East",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Gungahlin - West",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Jacka",0,0,0,9,68,102,54,12,0,10,3,5,253,
"Kenny",0,0,0,0,0,0,0,0,0,0,0,0,3,
"Moncrieff",0,0,0,0,0,5,11,9,0,0,0,0,30,
"Taylor",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Throsby",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Acton",0,0,0,0,0,0,0,0,0,0,0,10,10,
"Ainslie",0,0,7,39,385,735,622,132,22,94,51,105,2199,
"Braddon",0,8,16,100,1324,715,172,28,9,96,61,346,2874,
"Civic",0,0,13,71,624,341,65,5,0,25,26,291,1453,
"Dickson",0,0,6,37,304,257,215,48,0,45,18,73,999,
"Downer",3,11,7,54,309,404,458,108,8,61,51,75,1551,
"Hackett",0,0,5,26,189,353,385,136,22,51,23,41,1242,
"Lyneham",5,6,15,99,707,664,482,100,38,92,99,207,2501,
"O'Connor (ACT)",3,0,14,54,592,686,528,151,21,123,55,131,2355,
"Turner",0,8,21,110,826,560,195,49,10,72,41,244,2139,
"Watson",3,4,18,74,541,847,683,145,21,78,39,126,2570,
"Black Mountain",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Campbell",0,0,6,29,235,298,399,186,37,49,19,70,1335,
"Duntroon",0,0,0,0,8,39,71,19,0,3,4,15,154,
"Parkes (ACT) - North",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Reid",0,3,5,25,249,254,135,42,9,25,25,116,886,
"Russell",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Deakin",0,0,0,13,161,353,350,148,36,60,33,59,1209,
"Forrest",0,0,0,11,137,191,154,97,30,33,14,77,731,
"Griffith (ACT)",0,0,6,45,500,753,390,156,29,64,28,151,2120,
"Lake Burley Griffin",0,0,0,0,0,0,0,0,0,0,0,0,0,
