Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA2 (UR) by CHCAREP Unpaid Child Care"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"CHCAREP Unpaid Child Care","Did not provide child care","Cared for own child/children","Cared for other child/children","Cared for own child/children and other child/children","Not stated","Not applicable","Total",
"SA2 (UR)",
"Cremorne - Cammeray",10515,3184,1069,79,1190,3052,19084,
"Crows Nest - Waverton",10983,2666,832,52,1147,2340,18026,
"Mosman",14906,4869,1634,120,1940,5014,28476,
"Neutral Bay - Kirribilli",11235,2181,923,46,1552,1924,17852,
"North Sydney - Lavender Bay",6836,1174,574,30,1031,1064,10703,
"Balgowlah - Clontarf - Seaforth",8915,4423,1046,158,855,4791,20188,
"Manly - Fairlight",12274,3284,1216,96,1754,3081,21704,
"Avalon - Palm Beach",6275,2182,1009,72,562,2276,12374,
"Bayview - Elanora Heights",5433,1816,785,68,683,1948,10745,
"Newport - Bilgola",6603,2468,955,74,501,2582,13186,
"Warriewood - Mona Vale",11457,4605,1527,177,1429,4948,24134,
"Beacon Hill - Narraweena",6902,2636,827,72,658,2794,13882,
"Cromer",3526,1447,565,58,327,1563,7485,
"Dee Why - North Curl Curl",13161,4539,1226,124,1547,4354,24949,
"Forestville - Killarney Heights",5951,2605,755,101,431,2950,12796,
"Frenchs Forest - Belrose",11891,5054,1655,174,923,5470,25171,
"Freshwater - Brookvale",10595,3935,977,151,1228,4095,20978,
"Manly Vale - Allambie Heights",7544,3584,916,122,818,3876,16870,
"Narrabeen - Collaroy",12780,4351,1500,135,1594,4409,24771,
"Terrey Hills - Duffys Forest",1801,650,260,25,190,719,3648,
"Camden - Ellis Lane",6335,2271,1025,91,650,2589,12963,
"Elderslie - Harrington Park",9134,4416,1322,181,785,5142,20980,
"Mount Annan - Currans Hill",12130,6324,1685,233,934,7264,28576,
"Bradbury - Wedderburn",8834,3221,1194,129,1135,4450,18962,
"Campbelltown - Woodbine",9596,2828,1017,95,1197,3456,18194,
"Claymore - Eagle Vale - Raby",9982,3330,1290,129,1131,4541,20405,
"Holsworthy Military Area",0,0,0,0,0,0,0,
"Ingleburn - Denham Court",9964,3442,1175,82,1206,4118,19985,
"Leumeah - Minto Heights",8383,2711,1219,99,846,3285,16541,
"Macquarie Fields - Glenfield",11223,4071,1157,93,1752,5257,23556,
"Minto - St Andrews",9858,3539,1096,90,912,4397,19887,
"Rosemeadow - Glen Alpine",10163,3269,1470,141,1333,4505,20876,
"Bargo",2774,991,386,38,339,1218,5740,
"Douglas Park - Appin",4295,1883,680,87,444,2236,9625,
"Picton - Tahmoor - Buxton",7870,2947,1079,117,1200,3567,16786,
"The Oaks - Oakdale",4245,1585,653,50,508,1957,8997,
"Blackheath - Megalong Valley",3100,813,329,52,378,885,5560,
"Blaxland - Warrimoo - Lapstone",9207,3401,1601,171,726,3831,18936,
"Blue Mountains - North",9,0,0,0,0,0,12,
"Katoomba - Leura",7737,1711,798,120,968,1886,13222,
"Lawson - Hazelbrook - Linden",5693,2015,720,105,477,2245,11253,
"Springwood - Winmalee",10868,3781,1805,169,807,4197,21633,
"Wentworth Falls",3407,880,413,39,332,1001,6077,
"Blue Mountains - South",4,0,0,0,0,0,5,
"Cambridge Park",7556,2678,1258,123,737,3284,15644,
"Castlereagh - Cranebrook",10480,4723,1492,227,1197,5598,23724,
"Emu Plains - Leonay",6856,2506,1149,128,766,2823,14223,
"Glenmore Park - Regentville",9608,4357,1285,188,704,5063,21203,
"Jamisontown - South Penrith",8463,2933,1252,135,929,3577,17288,
"Kingswood - Werrington",9458,3528,1072,114,1125,4289,19577,
"Mulgoa - Luddenham - Orchard Hills",4444,1795,609,83,535,2079,9541,
"Penrith",7342,1939,688,66,1068,2183,13295,
"Warragamba - Silverdale",2494,968,318,29,242,1141,5195,
"Richmond - Clarendon",7404,2051,930,83,954,2413,13839,
"Windsor - Bligh Park",7621,2650,954,113,779,3214,15330,
"Yarramundi - Londonderry",3147,1024,426,46,1426,1311,7376,
"Erskine Park",3382,1078,444,47,243,1244,6440,
"St Clair",9865,3468,1346,106,966,4144,19895,
"Colyton - Oxley Park",5858,1799,692,68,751,2424,11595,
"St Marys - North St Marys",8116,2439,748,67,1383,3314,16074,
"Homebush Bay - Silverwater",8769,3091,564,58,3308,2958,18733,
"Rookwood Cemetery",0,3,0,0,0,0,0,
"Auburn - Central",9757,2380,517,60,1093,3350,17175,
"Auburn - North",6590,1647,254,23,851,1960,11325,
"Auburn - South",4517,1281,332,29,477,1851,8487,
"Berala",5196,1334,362,25,380,1593,8898,
"Lidcombe",12248,2728,751,57,1259,2945,19988,
"Regents Park",2759,818,221,19,253,991,5067,
"Carlingford",14224,5249,1652,111,1001,5122,27359,
"Ermington - Rydalmere",11202,3900,947,105,1034,4232,21423,
"Oatlands - Dundas Valley",9407,3126,868,82,936,3361,17788,
"Chester Hill - Sefton",9580,2654,707,67,1499,3958,18461,
"Fairfield - East",8508,1998,583,41,1142,3244,15514,
"Granville - Clyde",11287,3049,787,48,1490,4167,20830,
"Greystanes - Pemulwuy",12792,4814,1612,139,1239,5714,26307,
"Guildford - South Granville",10258,3058,779,74,1654,5126,20951,
"Guildford West - Merrylands West",10787,3260,904,65,1189,4518,20722,
"Merrylands - Holroyd",15105,4619,1081,84,1549,6013,28452,
"Smithfield Industrial",14,0,0,0,0,0,10,
"Yennora Industrial",10,3,0,0,0,0,14,
"North Parramatta",12118,3707,744,74,1883,3713,22232,
"North Rocks",3911,1543,565,38,200,1620,7878,
"Northmead",9704,4233,722,88,1325,4307,20383,
"Parramatta - Rosehill",15719,5356,605,43,2485,5043,29243,
"Toongabbie - Constitution Hill",11678,3708,1208,101,1068,4176,21936,
"Winston Hills",5215,2129,736,74,247,2373,10774,
"Pendle Hill - Girraween",6159,2555,444,31,786,2867,12842,
"Wentworthville - Westmead",7771,3174,521,49,825,3267,15599,
"Epping - North Epping",15089,4887,1415,122,847,4731,27093,
"Pennant Hills - Cheltenham",10547,3814,1442,120,633,3935,20495,
"Eastwood - Denistone",14279,4317,1273,95,976,4113,25045,
"Gladesville - Huntleys Point",7776,2488,764,62,744,2582,14409,
"Hunters Hill - Woolwich",5382,1753,656,42,501,2015,10341,
"Macquarie Park - Marsfield",13767,3103,817,62,1203,2775,21728,
"North Ryde - East Ryde",6682,2257,624,51,448,2246,12311,
"West Ryde - Meadowbank",11241,3387,802,71,756,3112,19375,
"Putney",2210,730,233,21,143,809,4143,
"Ryde",15206,4600,1219,106,1464,4580,27174,
"Ashcroft - Busby - Miller",8444,2222,667,75,1737,4198,17335,
"Austral - Greendale",4757,1189,513,29,765,1655,8918,
"Cobbitty - Leppington",7742,3595,977,105,1225,4255,17890,
"Badgerys Creek",29,8,3,0,4,12,59,
"Cecil Hills",3802,1079,366,26,308,1437,7015,
"Green Valley",6727,1885,635,31,603,2635,12514,
"Hinchinbrook",6451,2016,522,45,478,2792,12295,
"Hoxton Park - Carnes Hill - Horningsea Park",5255,2346,484,51,460,2992,11588,
"West Hoxton - Middleton Grange",6589,3166,645,83,661,4034,15187,
"Bonnyrigg Heights - Bonnyrigg",9120,2233,813,70,644,3096,15980,
"Bossley Park - Abbotsbury",11030,2500,1087,42,840,3338,18834,
"Cabramatta - Lansvale",14482,3554,787,51,1399,4431,24708,
"Cabramatta West - Mount Pritchard",9193,2577,789,78,996,3559,17188,
"Canley Vale - Canley Heights",11901,2993,844,54,1030,3997,20819,
"Edensor Park",5713,1383,506,27,375,1770,9772,
"Fairfield",10488,2253,540,57,980,3385,17704,
"Fairfield - West",10774,2549,811,57,1012,3883,19088,
"Greenfield Park - Prairiewood",4869,1144,404,25,318,1583,8336,
"Horsley Park - Kemps Creek",2394,565,305,7,398,759,4426,
"Smithfield - Wetherill Park",10151,2428,989,66,941,3472,18045,
"St Johns Park - Wakeley",6404,1414,675,30,498,1844,10866,
"Wetherill Park Industrial",33,3,0,0,0,0,36,
"Casula",7942,2514,774,58,1010,3369,15661,
"Chipping Norton - Moorebank",9118,3519,1121,87,752,4146,18748,
"Holsworthy - Wattle Grove",9902,4250,906,128,831,4692,20706,
"Liverpool",13471,3979,835,64,3103,5718,27172,
"Lurnea - Cartwright",5763,1638,485,35,1015,2744,11686,
"Prestons - Edmondson Park",7886,3561,784,72,744,4535,17580,
"Warwick Farm",2985,804,154,11,787,1052,5798,
"Gymea - Grays Point",8711,3310,1263,105,607,3485,17479,
"Miranda - Yowie Bay",9637,3153,1095,85,934,3318,18230,
"Sylvania - Taren Point",8632,2569,1103,54,796,2781,15940,
"Caringbah",6009,2139,716,72,642,2192,11764,
"Caringbah South",5942,2210,974,75,412,2446,12058,
"Cronulla - Kurnell - Bundeena",13051,3398,1808,127,1672,3427,23487,
"Lilli Pilli - Port Hacking - Dolans Bay",1587,582,236,23,86,634,3149,
"Woolaware - Burraneer",3872,1405,562,52,302,1533,7728,
"Heathcote - Waterfall",3306,1165,514,44,207,1271,6504,
"Illawong - Alfords Point",5819,1643,883,46,258,1714,10366,
"Menai - Lucas Heights - Woronora",10866,3763,1571,115,726,4094,21128,
"Oyster Bay - Como - Jannali",9866,4328,1537,148,676,4693,21254,
"Royal National Park",11,3,0,0,7,9,24,
"Sutherland - Kirrawee",11066,3692,1244,122,1023,3729,20874,
"Engadine",7378,3555,1446,135,484,3991,16992,
"Loftus - Yarrawarrah",3465,1382,605,77,176,1550,7247,
"Woronora Heights",1926,660,256,38,86,679,3646,
"Migratory - Offshore - Shipping (NSW)",224,43,37,0,74,39,419,
"No Usual Address (NSW)",6812,848,476,47,3365,741,12288,
"Aranda",1184,435,182,18,86,486,2397,
"Belconnen",4598,663,203,16,610,562,6651,
"Bruce",4791,718,297,15,534,649,6996,
"Charnwood",1413,532,183,31,177,638,2979,
"Cook",1511,464,190,27,115,509,2804,
"Dunlop",3133,1529,383,77,237,1843,7199,
"Evatt",2563,930,397,36,314,1084,5329,
"Florey",2583,740,352,30,213,848,4769,
"Flynn (ACT)",1632,613,264,37,115,703,3355,
"Fraser",942,369,186,22,93,414,2027,
"Giralang",1625,599,243,20,128,697,3312,
"Gooromon",3,0,0,0,0,0,10,
"Hawker",1577,475,220,26,108,550,2956,
"Higgins",1494,565,192,29,167,623,3069,
"Holt",2315,787,322,32,293,866,4623,
"Kaleen",3850,1179,585,48,306,1296,7270,
"Latham",1692,681,298,30,162,779,3637,
"Lawson",53,42,6,0,3,44,142,
"Macgregor (ACT)",2944,1486,438,58,213,1660,6794,
"Macquarie",1434,461,156,17,119,510,2703,
"McKellar",1444,424,232,15,154,478,2749,
"Melba",1569,537,234,18,137,655,3148,
"Page",1723,457,141,15,200,485,3023,
"Scullin",1431,536,193,20,152,600,2931,
"Spence",1224,465,227,17,103,546,2584,
"Weetangera",1282,480,219,17,73,511,2575,
"Molonglo Corridor",9,0,0,0,0,0,14,
"West Belconnen",7,0,0,0,3,3,16,
"Hume",0,0,0,0,422,0,424,
"Kowen",4,10,0,0,8,16,39,
"Canberra East",481,65,51,5,178,62,837,
"Canberra Airport",49,15,3,0,5,22,100,
"Majura",88,31,7,0,24,24,175,
"Amaroo",2401,1312,264,59,172,1509,5708,
"Bonner",2252,1754,267,54,249,2152,6730,
"Casey",2329,1411,250,55,245,1466,5759,
"Crace",1956,1069,162,31,161,1084,4456,
"Forde",1514,1168,178,32,134,1283,4307,
"Franklin",3176,1317,234,29,258,1401,6420,
"Gungahlin",3148,1123,262,30,355,1210,6131,
"Hall",131,47,25,0,14,54,276,
"Harrison",3402,1793,240,38,241,1979,7691,
"Mitchell",3,0,0,0,0,0,3,
"Ngunnawal",4801,2199,536,73,467,2405,10486,
"Nicholls",3520,1186,477,36,338,1309,6862,
"Palmerston",2840,971,340,50,258,1073,5529,
"Gungahlin - East",0,0,0,0,0,0,0,
"Gungahlin - West",0,0,0,0,0,0,0,
"Jacka",231,183,30,4,14,203,666,
"Kenny",5,0,0,0,0,0,10,
"Moncrieff",34,28,0,0,8,31,101,
"Taylor",0,0,0,0,0,0,0,
"Throsby",0,0,0,0,0,0,0,
"Acton",1903,12,36,0,128,13,2086,
"Ainslie",2820,815,243,57,343,905,5183,
"Braddon",4101,343,187,16,581,272,5500,
"Civic",3519,149,106,3,398,105,4275,
"Dickson",1348,269,78,17,139,294,2148,
"Downer",2001,592,194,30,220,617,3660,
"Hackett",1443,604,150,29,139,634,2996,
"Lyneham",3157,629,296,24,376,633,5114,
"O'Connor (ACT)",3161,819,253,52,288,910,5477,
"Turner",2798,369,145,8,410,313,4049,
"Watson",3048,1067,280,51,313,1110,5865,
"Black Mountain",0,0,0,0,0,0,0,
"Campbell",1835,484,159,10,235,497,3220,
"Duntroon",1372,125,17,8,116,141,1774,
"Parkes (ACT) - North",5,0,0,0,0,0,0,
"Reid",1040,164,89,9,174,161,1640,
"Russell",0,0,0,0,0,0,0,
"Deakin",1538,493,171,24,118,536,2874,
"Forrest",934,205,116,7,133,215,1609,
"Griffith (ACT)",2690,641,226,6,352,649,4576,
"Lake Burley Griffin",0,0,0,0,0,0,0,
"Narrabundah",3002,1021,228,38,622,1051,5956,
"Parkes (ACT) - South",0,0,0,0,5,0,4,
"Red Hill (ACT)",1660,513,158,20,201,619,3169,
"Yarralumla",1612,422,266,10,170,413,2888,
"Barton",991,137,89,6,109,105,1436,
"Fyshwick",32,3,6,0,8,5,54,
"Kingston (ACT)",3131,406,195,12,344,334,4425,
"Banks",2320,1009,258,40,191,1141,4967,
"Bonython",2015,652,270,26,130,692,3783,
"Calwell",3002,957,362,45,267,1131,5761,
"Chisholm",2682,855,347,28,203,1005,5118,
"Conder",2551,918,282,51,240,1025,5059,
"Fadden",1600,475,250,27,81,524,2953,
"Gilmore",1399,452,167,28,129,573,2751,
"Gordon (ACT)",4085,1243,454,66,297,1464,7610,
"Gowrie (ACT)",1510,525,265,22,131,609,3055,
"Greenway",1159,262,138,7,112,214,1892,
"Isabella Plains",2145,811,255,38,212,945,4403,
"Kambah",7401,2471,1204,126,728,2969,14900,
"Macarthur",720,245,119,12,58,264,1426,
"Monash",2880,781,454,45,384,890,5428,
"Mount Taylor",0,0,0,0,0,0,0,
"Oxley (ACT)",894,269,131,11,67,326,1697,
"Richardson",1497,524,209,24,121,628,3008,
"Theodore",1878,710,241,30,131,812,3799,
"Tuggeranong",18,0,0,0,5,0,22,
"Wanniassa",3765,1251,655,64,302,1471,7511,
"Tuggeranong - West",4,3,0,0,0,4,12,
"Chapman",1410,438,214,27,89,503,2687,
"Duffy",1458,593,241,25,146,698,3162,
"Fisher",1473,529,188,19,160,633,3000,
"Holder",1308,441,215,18,101,522,2604,
"Rivett",1540,579,209,28,161,678,3190,
"Stirling",1008,354,205,14,163,385,2134,
"Waramanga",1287,487,178,25,117,535,2627,
"Weston",1675,610,233,29,361,677,3580,
"Scrivener",0,0,0,0,0,0,4,
"Chifley",1283,419,139,24,118,425,2407,
"Curtin",2732,935,295,21,227,1023,5234,
"Farrer",1763,524,209,28,114,595,3224,
"Garran",1678,636,181,9,289,705,3499,
"Hughes",1555,495,146,21,195,577,2993,
"Isaacs",1378,335,208,10,73,346,2345,
"Lyons (ACT)",1768,420,155,12,252,479,3089,
"Mawson",1829,513,187,7,166,552,3254,
"O'Malley",549,124,81,7,66,170,990,
"Pearce",1386,406,171,18,138,467,2582,
"Phillip",1798,409,86,6,254,381,2935,
"Torrens",1138,419,121,12,81,434,2206,
"Arboretum",0,0,0,0,6,0,10,
"Coombs",722,413,68,11,117,469,1810,
"Denman Prospect",0,0,0,0,0,0,0,
"Molonglo",0,0,0,0,0,0,0,
"Molonglo - North",5,0,0,0,0,0,5,
"Wright",1411,519,121,22,180,507,2755,
"ACT - South West",256,109,17,3,49,126,561,
"Namadgi",19,7,0,0,3,7,41,
"Migratory - Offshore - Shipping (ACT)",0,0,0,0,0,0,0,
"No Usual Address (ACT)",323,36,27,4,108,37,541,
"Total",4139344,1261894,446558,44071,524939,1460811,7877622,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
