Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Families, Place of Enumeration"
"SA2 by RNTRD Rent (weekly) Ranges"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"Armidale Region - North",83,20,11,23,27,45,19,71,19,53,27,53,10,11,0,4,0,3,3,0,0,0,0,30,1364,1883,
"Armidale Region - South",70,14,4,22,15,52,48,43,30,52,32,24,17,14,3,8,4,10,0,0,0,0,0,19,2058,2549,
"Walcha",81,7,3,35,23,35,32,38,10,20,4,4,0,0,0,0,0,0,0,0,0,0,0,28,1133,1461,
"Glen Innes",71,8,16,61,92,116,93,148,134,92,32,50,4,8,4,0,0,4,4,0,0,0,6,45,2968,3954,
"Inverell",43,53,26,88,75,143,127,207,124,250,180,176,33,46,19,20,5,9,4,0,0,0,0,52,3418,5108,
"Inverell Region - East",124,20,19,39,18,58,32,49,20,20,4,13,0,3,0,0,0,0,0,0,0,0,0,32,1722,2169,
"Inverell Region - West",134,25,12,65,34,55,44,79,22,32,16,8,0,0,0,0,3,0,3,0,0,0,0,35,2105,2670,
"Tenterfield",95,16,26,48,58,72,81,111,57,60,17,18,0,3,0,0,0,0,0,0,0,0,4,27,2528,3223,
"Moree",44,30,51,67,54,232,167,154,74,128,63,84,22,43,13,26,0,47,6,0,0,0,5,69,2382,3757,
"Moree Region",261,60,22,134,44,75,40,47,6,20,9,12,0,7,0,3,0,0,6,0,0,0,6,83,1402,2230,
"Narrabri",34,17,17,59,48,100,59,100,35,76,26,78,28,92,40,55,10,19,0,0,0,0,0,42,2167,3090,
"Narrabri Region",131,40,18,52,44,67,34,41,9,43,18,27,4,11,0,0,0,4,0,0,0,0,0,48,1417,2009,
"Gunnedah",29,19,16,41,41,90,70,156,90,118,95,137,55,103,38,52,26,55,6,4,0,0,3,39,2639,3924,
"Gunnedah Region",97,25,12,18,12,32,14,46,10,40,18,42,4,16,6,13,0,5,0,0,0,0,0,36,1314,1773,
"Quirindi",116,25,20,68,65,97,105,117,50,107,41,45,6,7,0,6,0,0,0,0,0,3,5,60,2436,3372,
"Tamworth - East",68,36,29,99,52,174,175,236,193,269,258,429,181,219,93,112,31,79,5,5,0,0,11,84,5866,8714,
"Tamworth - North",68,9,24,81,50,94,108,157,145,246,172,284,215,221,124,92,18,74,10,3,0,0,0,81,4230,6502,
"Tamworth - West",9,15,15,65,46,74,49,90,65,117,66,113,54,54,52,25,0,4,0,0,0,0,0,37,1210,2158,
"Tamworth Region",181,38,27,64,52,123,77,116,51,134,69,119,38,59,16,36,3,50,11,0,3,0,5,86,6315,7675,
"Belmont - Bennetts Green",29,16,17,128,33,84,60,88,49,86,68,135,102,170,109,149,51,137,69,10,5,0,4,52,5652,7280,
"Belmont South - Blacksmiths",23,18,9,64,25,30,34,69,47,52,45,100,56,75,42,35,26,39,17,0,0,0,0,21,1790,2617,
"Charlestown - Dudley",62,23,14,112,39,101,76,104,71,83,106,256,213,323,196,213,87,249,71,15,9,4,4,67,7458,9952,
"Glendale - Cardiff - Hillsborough",43,15,15,75,22,57,35,114,51,92,62,200,170,265,187,178,68,167,42,5,0,0,3,55,7506,9434,
"Mount Hutton - Windale",17,34,34,292,67,173,90,103,46,58,67,181,95,85,41,61,21,28,9,0,3,0,0,92,2176,3769,
"Redhead",6,0,0,6,5,16,0,8,3,7,4,11,9,17,15,23,0,29,27,7,3,0,0,11,1235,1449,
"Swansea - Caves Beach",38,7,4,48,26,63,53,59,28,71,52,120,58,97,65,74,33,104,32,14,0,0,4,32,3868,4952,
"Valentine - Eleebana",18,3,0,0,0,7,6,10,3,13,3,31,20,35,24,53,32,120,47,12,3,0,4,12,4129,4595,
"Warners Bay - Boolaroo",39,4,8,45,18,25,24,54,34,64,42,111,99,204,111,118,53,157,46,9,9,0,4,34,4370,5661,
"Bolton Point - Teralba",7,7,19,87,37,74,46,72,30,58,59,112,81,107,41,43,23,38,8,6,0,0,4,38,2557,3542,
"Bonnells Bay - Silverwater",19,5,0,5,0,10,16,24,22,58,28,112,69,123,85,78,65,78,12,0,4,0,0,19,2753,3585,
"Edgeworth - Cameron Park",13,11,4,45,21,61,23,43,20,45,37,74,48,100,74,97,41,438,31,3,0,0,0,34,3980,5231,
"Morisset - Cooranbong",53,3,19,45,52,56,44,98,27,71,46,127,73,162,97,74,60,134,30,6,0,0,4,39,4838,6155,
"Toronto - Awaba",36,19,17,114,25,92,47,77,54,85,97,173,99,150,84,79,39,69,16,4,4,0,5,49,4199,5634,
"Wangi Wangi - Rathmines",26,0,0,9,8,31,19,37,14,40,43,97,56,69,54,49,21,63,9,0,0,0,0,13,3045,3699,
"West Wallsend - Barnsley - Killingworth",20,0,8,3,0,11,5,18,0,27,12,48,46,64,33,40,8,38,0,0,0,0,0,3,2139,2526,
"Adamstown - Kotara",36,15,9,66,19,41,27,57,29,88,79,174,101,155,122,148,64,248,51,21,9,0,4,56,4728,6335,
"Beresfield - Hexham",14,15,6,55,37,52,67,54,38,89,96,169,115,90,22,13,3,6,0,5,0,0,0,40,2585,3574,
"Hamilton - Broadmeadow",41,68,35,269,63,103,59,95,53,83,85,142,84,192,107,152,67,303,65,26,20,4,5,62,3257,5452,
"Lambton - New Lambton",36,20,19,122,46,76,68,108,78,112,80,171,117,249,177,180,59,211,58,24,4,0,7,57,4996,7073,
"Maryland - Fletcher - Minmi",16,3,7,12,7,22,7,28,23,28,21,78,50,102,97,101,49,300,45,0,0,0,0,24,3839,4853,
"Mayfield - Warabrook",38,33,31,212,36,92,81,132,81,152,103,213,178,337,227,257,92,190,17,5,5,0,5,81,4094,6687,
"Merewether - The Junction",33,35,20,133,23,39,18,54,42,63,75,115,104,191,119,161,54,255,138,60,20,19,14,56,3936,5771,
"Newcastle - Cooks Hill",35,56,31,241,42,49,31,83,75,84,76,153,122,173,146,220,116,469,230,108,52,21,25,71,2833,5531,
"Newcastle Port - Kooragang",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,
"Shortland - Jesmond",19,30,24,126,57,134,37,94,36,92,75,207,127,266,153,147,54,174,33,20,14,15,21,71,2180,4211,
"Stockton - Fullerton Cove",21,8,4,63,18,39,22,36,16,37,19,43,30,45,47,56,16,126,36,4,3,0,3,14,2535,3244,
"Wallsend - Elermore Vale",51,35,36,151,37,119,52,124,62,133,107,246,223,380,212,186,58,186,26,8,3,0,3,71,5840,8356,
"Waratah - North Lambton",30,22,16,145,49,78,54,101,60,101,91,181,120,224,159,183,77,193,33,13,5,7,12,63,3146,5162,
"Wickham - Carrington - Tighes Hill",29,17,17,36,11,51,42,61,48,78,53,111,87,168,120,150,73,273,82,14,6,0,4,28,2266,3827,
"Ballina",44,20,22,266,61,99,60,137,96,179,138,300,177,258,154,233,89,352,88,12,11,0,7,91,5561,8442,
"Ballina Region",78,4,5,39,28,43,38,74,28,100,100,128,82,145,108,126,33,158,56,13,5,0,5,41,5613,7063,
"Bangalow",49,4,6,7,0,20,11,25,10,20,7,38,10,27,16,40,21,88,83,38,13,8,17,22,1811,2394,
"Brunswick Heads - Ocean Shores",24,9,3,13,10,36,27,53,22,58,49,80,46,77,61,114,73,228,87,23,7,4,11,21,2861,3986,
"Byron Bay",40,0,6,13,16,52,33,34,23,28,23,38,14,44,32,79,29,212,249,157,78,61,68,56,3188,4555,
"Evans Head",39,13,0,18,15,44,47,73,45,105,65,95,33,66,17,30,7,36,8,9,0,0,0,23,1874,2663,
"Lennox Head - Skennars Head",13,0,0,3,3,4,3,8,12,9,13,23,25,54,20,70,36,177,114,58,16,4,3,22,2526,3220,
"Mullumbimby",77,3,0,21,6,42,19,64,21,55,31,72,21,69,39,70,26,158,80,21,14,3,13,32,2793,3744,
"Casino",38,19,15,74,64,160,114,181,121,274,192,209,51,50,3,3,0,0,0,3,0,0,0,54,3610,5238,
"Casino Region",67,10,13,29,17,51,32,59,25,73,32,44,11,12,8,4,0,4,0,0,0,0,0,22,2403,2916,
"Goonellabah",18,13,17,89,44,58,71,130,100,198,156,191,122,136,60,70,37,57,8,0,0,0,0,63,4009,5643,
"Kyogle",71,22,4,39,22,74,51,94,53,126,39,68,9,17,0,3,0,6,0,0,0,0,4,19,2672,3385,
"Lismore",40,15,29,112,82,178,195,229,189,236,194,347,161,211,63,51,12,36,5,3,0,0,0,57,4527,6985,
"Lismore Region",118,23,7,39,17,62,31,85,38,96,72,123,55,70,35,48,19,51,22,5,3,0,0,46,5385,6467,
"Kingscliff - Fingal Head",43,7,4,43,26,53,50,70,39,68,45,134,74,158,105,102,36,261,126,83,36,19,13,47,4312,5944,
"Murwillumbah",27,4,10,59,24,61,54,95,81,70,67,97,79,135,77,65,16,66,3,0,0,0,0,34,2744,3881,
"Murwillumbah Region",81,11,5,28,8,38,24,60,26,56,28,89,36,60,18,53,16,71,7,5,0,0,0,31,3451,4207,
"Pottsville",41,4,11,31,13,49,13,46,18,60,54,116,61,154,125,149,73,236,79,11,4,0,3,56,4173,5578,
"Tweed Heads",60,11,16,105,32,70,45,119,94,210,210,376,210,300,204,164,58,283,60,25,16,3,6,93,6721,9498,
"Banora Point",31,5,11,61,8,44,40,45,20,41,23,114,112,154,103,132,68,233,71,15,4,4,0,57,5420,6825,
"Terranora - North Tumblegum",5,0,3,0,0,0,3,9,0,7,0,6,0,4,10,7,4,33,23,14,3,3,0,10,1022,1171,
"Tweed Heads South",26,4,6,93,29,64,27,46,22,64,56,97,99,152,147,110,36,110,29,9,0,0,4,42,3011,4289,
"Griffith (NSW)",61,33,31,94,119,274,274,272,170,340,143,224,99,154,62,46,4,24,3,3,0,0,0,84,5053,7583,
"Griffith Region",277,52,32,105,71,179,133,157,49,113,32,37,11,11,3,6,0,5,0,0,0,0,5,100,3746,5130,
"Leeton",51,22,13,105,48,137,140,162,105,136,35,101,14,18,4,3,3,0,0,0,0,0,3,29,2933,4066,
"Narrandera",51,27,21,49,47,99,90,75,34,51,3,13,3,3,0,5,0,0,0,0,0,0,0,36,2021,2629,
"Tumbarumba",34,14,7,25,19,60,52,36,14,17,8,14,6,3,0,0,0,0,0,0,0,0,3,15,1131,1464,
"Tumut",23,28,17,46,39,81,86,135,62,82,46,61,23,14,7,9,0,0,0,0,0,0,3,17,1962,2743,
"Tumut Region",53,24,8,33,27,57,32,31,16,21,9,12,0,0,4,0,5,0,0,0,0,0,4,23,1664,2022,
"Cootamundra",52,35,20,77,59,76,69,108,82,91,37,34,3,4,0,4,0,0,0,0,0,0,3,36,2581,3373,
"Gundagai",61,17,9,34,16,41,28,56,17,25,3,15,0,5,0,6,0,0,0,0,0,0,0,16,1198,1535,
"Junee",52,14,23,32,25,41,38,71,29,68,23,37,18,12,8,8,0,4,0,0,0,0,0,25,1677,2206,
"Temora",81,42,26,63,51,79,67,74,48,56,15,22,3,3,3,0,0,0,0,0,0,0,0,20,2225,2871,
"Wagga Wagga - East",37,14,17,60,27,147,133,111,79,167,151,269,110,138,82,74,24,65,15,8,3,0,3,41,4857,6629,
"Wagga Wagga - North",9,0,3,14,4,9,0,6,11,18,27,46,23,62,36,28,12,60,3,0,0,0,0,3,1125,1496,
"Wagga Wagga - South",40,40,40,166,86,174,193,164,159,307,295,394,218,219,120,99,30,84,6,3,3,0,5,87,5722,8652,
"Wagga Wagga - West",30,42,46,156,72,158,210,269,209,298,235,260,104,113,58,57,20,54,14,3,0,0,4,73,2855,5351,
"Wagga Wagga Region",135,39,31,45,37,108,56,123,67,124,68,96,26,42,30,20,7,12,0,0,0,0,0,49,4621,5729,
"Berry - Kangaroo Valley",58,8,12,23,10,22,20,29,16,37,35,54,21,63,37,42,12,58,20,16,4,0,6,21,3380,4009,
"Callala Bay - Currarong",12,3,0,3,4,3,3,19,6,33,35,55,37,47,36,36,16,11,0,0,0,0,0,13,1223,1582,
"Culburra Beach",21,0,7,15,16,32,17,46,28,58,56,64,28,56,24,25,6,12,0,0,0,0,0,12,1795,2317,
"Ettrema - Sassafras - Budawang",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,
"Huskisson - Vincentia",17,0,0,25,11,7,14,37,25,49,28,64,31,50,31,46,9,56,9,5,0,0,3,21,1489,2021,
"North Nowra - Bomaderry",39,12,20,79,36,108,96,137,99,210,138,236,124,150,58,46,28,51,17,4,0,0,11,62,4926,6687,
"Nowra",49,35,43,204,93,220,179,220,141,298,233,273,218,209,124,157,44,49,10,5,0,0,3,106,5150,8075,
"St Georges Basin - Erowal Bay",36,3,12,9,6,32,42,78,75,249,149,261,115,107,48,51,12,23,0,0,0,0,0,45,4783,6148,
"Sussex Inlet - Berrara",26,0,0,11,0,23,13,44,39,58,42,46,10,17,12,9,0,7,0,0,0,0,0,22,1763,2140,
"Tomerong - Wandandian - Woollamia",20,9,0,3,4,3,4,12,7,12,4,14,5,6,0,10,0,6,0,0,0,0,0,11,1240,1365,
"Ulladulla",56,6,7,24,17,98,72,105,54,170,165,248,134,157,77,92,23,35,5,0,0,6,0,43,5375,6972,
"Ulladulla Region",29,4,5,3,3,17,8,36,20,52,28,44,19,21,7,14,0,4,0,0,0,0,5,17,1999,2344,
"Bowral",53,5,8,7,9,26,24,45,16,33,26,51,34,68,42,60,38,200,112,48,23,11,17,32,4595,5585,
"Hill Top - Colo Vale",12,0,0,4,3,6,0,17,5,17,9,25,14,32,37,40,14,46,10,0,4,0,5,10,1980,2288,
"Mittagong",28,0,0,20,10,49,23,70,27,54,32,62,38,69,46,68,37,122,60,11,11,0,4,32,2903,3781,
"Moss Vale - Berrima",44,9,8,11,7,80,36,57,28,66,59,102,75,90,61,92,33,108,26,4,3,0,5,34,3057,4101,
"Robertson - Fitzroy Falls",34,9,0,6,3,3,0,5,10,8,5,18,9,23,10,27,3,27,6,6,0,0,7,16,1246,1472,
"Southern Highlands",54,3,0,6,10,16,8,25,3,27,12,44,13,27,20,25,3,28,7,4,9,0,5,24,2487,2865,
"Baulkham Hills (East)",33,10,4,13,5,17,9,20,10,25,10,28,9,26,30,72,75,785,488,114,20,5,9,40,6751,8596,
"Baulkham Hills (West) - Bella Vista",22,0,0,10,16,4,4,9,9,13,0,11,13,19,9,39,28,163,219,176,95,53,50,35,5781,6772,
"Glenhaven",4,0,0,6,10,4,0,0,0,3,0,3,0,4,0,3,0,12,22,29,22,11,16,8,2109,2249,
"West Pennant Hills",12,0,0,9,0,9,4,4,5,10,0,10,0,7,3,12,0,50,74,61,46,28,52,17,3927,4344,
"Castle Hill - Central",24,0,0,0,6,0,0,4,0,12,3,9,5,13,5,18,16,284,251,108,26,12,9,16,2087,2901,
"Castle Hill - East",4,0,6,16,15,0,11,21,5,4,4,0,5,7,0,0,0,13,26,21,24,24,9,39,1760,2034,
"Castle Hill - North",24,0,9,14,4,6,0,5,0,12,7,7,6,10,0,26,6,128,147,113,68,46,27,21,3541,4233,
"Castle Hill - South",16,0,0,0,0,0,4,4,0,4,4,5,0,6,5,23,4,242,297,68,26,10,7,8,2698,3466,
"Castle Hill - West",7,0,0,0,0,0,0,0,0,9,0,4,0,7,0,7,0,25,59,49,24,28,24,6,1469,1719,
"Cherrybrook",27,0,0,6,0,4,4,9,0,9,7,19,10,9,8,13,6,69,222,226,134,69,38,24,5595,6497,
"Kellyville",27,0,0,3,0,4,0,10,5,17,3,17,3,12,5,14,4,113,473,335,121,47,34,40,6302,7595,
"Dural - Kenthurst - Wisemans Ferry",111,8,0,13,7,17,12,28,4,28,15,36,17,26,24,62,7,132,122,98,48,33,52,56,6421,7384,
"Galston - Laughtondale",19,3,0,0,0,4,0,10,3,8,8,13,3,18,0,11,6,37,38,14,11,9,14,15,1671,1927,
"Bilpin - Colo - St Albans",37,6,0,7,0,4,5,5,0,7,0,13,0,13,5,6,0,11,0,3,0,0,4,9,1008,1141,
"Kurrajong Heights - Ebenezer",78,14,9,3,4,17,16,51,15,30,29,59,10,67,35,93,48,157,70,42,17,0,10,30,7008,7922,
"Pitt Town - McGraths Hill",36,0,0,3,4,3,4,23,12,35,11,29,9,38,16,49,10,88,80,27,13,9,9,33,3254,3799,
"Rouse Hill - Beaumont Hills",39,0,0,0,0,11,3,6,17,18,3,28,10,21,15,16,4,131,410,371,131,38,24,37,5878,7220,
"Blacktown (East) - Kings Park",43,33,24,70,24,61,29,64,18,48,52,173,188,442,514,630,139,411,59,7,7,3,5,91,3510,6648,
"Blacktown (North) - Marayong",46,28,30,163,43,99,44,71,36,79,36,87,67,243,214,380,146,432,60,13,8,0,0,104,4343,6760,
"Doonside - Woodcroft",40,33,40,235,75,128,75,123,54,66,52,175,72,216,165,312,124,317,95,26,0,0,0,121,5435,7981,
"Lalor Park - Kings Langley",53,65,55,267,51,107,36,107,50,74,41,84,77,199,199,301,148,385,140,33,8,3,4,96,6969,9566,
"Seven Hills - Toongabbie",44,29,30,151,52,67,50,67,38,49,36,84,51,183,190,370,169,537,143,15,6,4,7,83,6435,8890,
"Blacktown (South)",20,10,13,65,16,37,25,40,15,28,22,60,50,141,164,271,105,238,28,11,5,0,0,57,3158,4574,
"Blacktown (West)",38,6,9,46,6,24,18,29,21,45,26,98,55,214,222,341,166,380,82,11,8,3,3,50,3895,5792,
"Glenwood",17,5,0,0,14,6,0,5,7,14,4,10,4,10,4,17,6,243,423,173,28,4,9,24,4111,5125,
"Parklea - Kellyville Ridge",27,0,0,4,3,6,14,9,19,20,5,34,11,23,8,42,35,390,778,465,59,7,5,47,8368,10379,
"Riverstone - Marsden Park",44,7,0,13,17,41,20,47,27,63,30,74,43,132,75,184,65,237,289,170,31,5,8,53,4775,6446,
"Acacia Gardens",0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,13,10,74,64,9,0,0,0,5,1079,1278,
"Quakers Hill",31,15,6,26,14,20,17,55,10,32,17,53,33,70,121,289,200,911,190,21,3,0,0,58,5704,7896,
"Bidwill - Hebersham - Emerton",36,56,44,299,173,225,164,161,135,206,149,387,250,372,104,125,43,80,10,7,0,3,9,117,3574,6725,
"Glendenning - Dean Park",4,0,7,10,8,13,10,15,7,11,9,29,22,62,91,199,91,119,11,0,0,0,0,20,2060,2794,
"Hassall Grove - Plumpton",24,0,0,7,7,11,20,30,9,32,22,46,61,158,193,391,142,338,45,13,3,0,0,62,5077,6677,
"Lethbridge Park - Tregear",18,53,53,271,115,203,162,183,82,144,169,510,306,265,114,112,89,298,73,6,9,0,0,147,4261,7645,
"Mount Druitt - Whalan",54,49,50,161,60,117,71,115,78,123,177,551,424,540,299,334,130,219,39,12,9,6,0,132,4364,8113,
"Prospect Reservoir",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,
"Rooty Hill - Minchinbury",31,5,5,48,15,32,19,26,11,43,26,86,54,163,163,365,150,420,105,10,0,0,0,54,5197,7030,
"Banksmeadow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,
"Botany",28,15,12,66,17,21,14,27,18,32,15,37,28,59,21,59,30,196,262,189,76,45,33,56,2875,4230,
"Mascot - Eastlakes",90,50,38,262,58,94,41,89,24,42,42,85,57,112,93,285,219,685,751,926,249,115,129,157,5623,10321,
"Pagewood - Hillsdale - Daceyville",28,25,27,225,44,61,45,43,17,31,11,27,39,97,130,260,131,299,129,121,59,33,33,87,2726,4726,
"Port Botany Industrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,
"Sydney Airport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,
"Marrickville",86,27,28,170,43,93,59,141,101,155,66,164,114,265,163,379,204,968,645,372,194,158,119,133,6557,11414,
"Petersham - Stanmore",61,13,19,53,16,53,48,101,73,100,109,187,112,216,132,284,164,736,476,338,259,161,247,80,5139,9178,
"Sydenham - Tempe - St Peters",16,4,0,6,3,3,4,28,4,13,13,52,13,31,12,36,18,153,224,147,84,66,55,27,2317,3338,
"Darlinghurst",28,9,12,77,13,22,17,51,54,35,45,134,78,121,92,127,81,471,437,418,290,157,399,63,3017,6243,
"Erskineville - Alexandria",39,23,18,77,11,37,9,32,14,38,25,57,29,60,26,71,36,702,920,728,360,196,231,60,4266,8057,
"Glebe - Forest Lodge",74,80,75,399,99,120,96,140,84,100,80,182,122,180,86,185,75,698,733,587,478,198,420,179,4546,10004,
"Newtown - Camperdown - Darlington",69,31,35,129,34,44,40,67,85,91,402,486,204,231,148,308,248,863,1049,739,424,300,461,135,4935,11542,
"Potts Point - Woolloomooloo",75,20,33,192,36,71,39,92,54,108,104,358,247,430,304,416,210,963,809,706,469,227,476,151,5025,11600,
"Pyrmont - Ultimo",118,32,16,148,60,73,73,93,61,67,37,79,68,84,124,127,72,746,1012,983,649,321,684,220,4171,10117,
"Redfern - Chippendale",103,132,94,591,84,148,87,146,51,72,57,117,81,132,94,254,174,775,1185,833,478,276,507,239,4664,11383,
"Surry Hills",56,62,52,403,65,88,40,70,39,76,38,87,47,94,80,146,80,694,787,619,416,278,461,167,3736,8687,
"Sydney - Haymarket - The Rocks",221,21,5,29,22,37,22,34,20,31,18,41,14,38,62,123,60,637,1102,841,1329,966,1270,400,5503,12847,
"Waterloo - Beaconsfield",171,179,145,757,145,218,122,145,58,92,53,108,52,95,48,105,58,1189,1600,2271,946,288,402,272,7217,16726,
"Bondi - Tamarama - Bronte",71,8,3,81,8,18,11,22,12,25,30,64,21,69,55,103,54,504,680,624,432,245,415,95,4697,8355,
"Bondi Beach - North Bondi",78,14,9,80,10,24,23,32,11,22,14,67,33,79,69,146,87,653,802,720,502,343,717,137,4952,9621,
"Bondi Junction - Waverly",72,13,18,64,19,41,16,26,24,33,22,53,34,80,72,115,59,364,468,416,300,203,474,101,4346,7425,
"Centennial Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Double Bay - Bellevue Hill",147,9,6,6,3,10,9,23,12,21,10,36,32,58,56,107,48,464,747,635,428,302,743,112,7606,11624,
"Dover Heights",45,0,5,5,3,8,5,12,0,0,15,20,17,30,36,41,21,246,309,213,113,83,224,46,2972,4482,
"Paddington - Moore Park",65,5,0,31,10,15,12,34,16,50,50,124,108,164,97,127,70,422,333,267,220,155,704,92,4173,7339,
"Rose Bay - Vaucluse - Watsons Bay",58,0,6,3,4,0,0,4,0,7,0,13,7,10,5,21,13,133,235,152,95,63,281,45,3422,4573,
"Woollahra",40,6,6,14,4,10,0,8,6,8,0,14,7,15,9,24,34,137,184,189,78,78,278,37,2430,3609,
"Coogee - Clovelly",68,53,49,299,71,89,46,77,42,54,37,77,51,67,42,132,69,747,1146,788,430,239,499,126,6115,11402,
"Malabar - La Perouse - Chifley",68,76,58,388,104,152,83,82,38,42,14,48,27,54,34,70,37,275,288,278,172,106,201,130,6240,9063,
"Kensington (NSW)",67,11,0,31,8,14,23,25,18,42,22,42,35,91,129,227,82,774,549,277,175,71,168,86,2460,5417,
"Kingsford",64,18,13,63,14,34,46,86,42,74,31,67,65,103,83,150,93,599,549,350,233,156,212,123,3097,6359,
"Maroubra - North",25,3,6,27,9,15,8,12,6,13,5,13,17,15,17,28,25,238,245,167,107,63,130,25,2718,3939,
"Maroubra - South",32,59,56,344,81,92,49,77,28,36,19,31,26,20,14,58,36,413,321,208,109,70,89,91,2549,4900,
"Maroubra - West",50,4,3,14,0,9,15,18,7,15,15,35,18,38,11,42,15,277,359,352,158,71,85,51,2581,4230,
"Randwick - North",70,14,5,17,6,17,21,43,28,38,18,42,22,44,34,137,73,888,1041,431,193,120,182,77,3930,7491,
"Randwick - South",54,12,12,38,15,19,14,22,18,35,27,36,20,36,35,110,48,562,744,369,145,99,184,61,2776,5505,
"Bass Hill - Georges Hall",70,68,55,269,76,152,94,116,51,75,29,97,29,64,38,158,53,440,190,93,12,4,10,114,5232,7597,
"Chullora",3,0,0,0,0,4,0,0,0,4,4,0,15,0,0,0,0,12,18,23,9,0,0,5,228,317,
"Condell Park",35,0,5,27,7,26,11,29,8,22,12,42,8,38,27,75,35,288,148,45,6,10,0,47,2847,3799,
"Greenacre - Mount Lewis",86,46,47,274,70,141,59,141,40,60,34,78,28,100,67,177,58,474,299,137,22,7,5,112,5933,8492,
"Padstow",45,32,19,157,46,44,28,53,20,36,16,53,9,54,29,127,78,404,199,104,15,5,15,80,4720,6390,
"Panania - Milperra - Picnic Point",57,23,33,216,46,79,27,85,31,38,27,58,27,63,37,117,80,493,300,165,35,11,3,78,7496,9614,
"Revesby",39,13,30,159,47,66,49,67,50,51,20,57,35,55,46,135,64,432,209,146,24,6,3,57,4262,6117,
"Yagoona - Birrong",56,27,37,156,58,120,57,121,57,67,28,76,39,133,83,222,92,516,132,81,12,0,6,123,4897,7208,
"Bankstown - North",49,27,28,143,26,84,39,63,33,60,47,89,79,226,316,611,185,489,114,47,5,6,10,103,3240,6119,
"Bankstown - South",75,27,22,122,22,82,49,63,19,51,35,100,73,207,144,440,131,416,128,32,17,11,3,93,3343,5713,
"Belmore - Belfield",71,27,11,127,49,103,29,75,49,57,71,192,190,365,150,201,64,397,247,104,19,11,11,116,4593,7338,
"Canterbury (South) - Campsie",126,14,26,104,20,104,62,132,44,95,59,292,281,769,572,767,304,1097,513,167,44,23,33,159,6402,12204,
"Kingsgrove (North) - Earlwood",66,13,11,44,23,38,17,44,25,25,18,51,16,85,45,119,45,377,389,165,69,43,29,73,7059,8895,
"Punchbowl",60,18,33,112,36,92,48,92,30,70,48,190,113,239,97,209,69,429,209,48,7,10,0,101,4667,7031,
"Roselands",37,11,13,56,19,35,30,41,12,24,25,65,59,120,61,85,28,239,171,62,27,12,4,56,3690,4977,
"Lakemba",53,12,11,57,17,36,33,31,30,45,82,415,411,731,335,261,75,256,107,33,11,0,7,78,2654,5774,
"Wiley Park",27,4,3,36,10,26,18,33,18,32,61,267,252,471,144,175,37,186,44,23,6,0,4,50,1771,3692,
"Hurstville",106,16,14,68,27,52,28,61,44,52,30,76,39,118,103,283,175,1303,844,200,66,27,49,127,5471,9396,
"Mortdale - Penshurst",59,15,9,44,16,35,23,60,18,54,31,118,109,359,419,573,178,590,294,129,59,14,19,87,6516,9823,
"Narwee - Beverly Hills",46,20,23,152,30,86,38,64,34,34,27,76,38,91,73,83,98,401,199,71,27,9,10,98,3574,5412,
"Oatley - Hurstville Grove",46,3,0,6,0,4,4,10,9,19,13,33,14,39,50,95,57,232,150,68,39,11,17,27,3774,4719,
"Peakhurst - Lugarno",39,11,20,131,32,29,27,47,16,22,13,23,14,14,12,53,22,248,182,88,40,8,12,46,5560,6725,
"Riverwood",38,74,58,379,107,183,101,131,42,72,40,64,30,81,43,147,56,438,154,30,7,8,3,114,2454,4854,
"South Hurstville - Blakehurst",80,9,6,43,12,42,21,34,23,44,17,48,21,61,86,228,151,861,472,187,60,21,37,116,6540,9224,
"Arncliffe - Bardwell Valley",69,18,10,106,29,35,28,49,24,33,36,79,31,85,46,114,72,809,1416,488,141,47,52,132,5027,8967,
"Bexley",89,8,5,29,10,21,23,52,27,49,37,87,63,193,195,477,273,851,358,151,49,13,21,85,6760,9937,
"Kingsgrove (South) - Bardwell Park",51,8,5,47,16,27,21,32,9,34,11,44,20,50,16,66,24,272,288,91,17,11,16,48,3651,4867,
"Kogarah",48,4,3,9,10,16,16,33,16,23,5,46,21,106,129,286,168,632,357,93,29,16,9,61,2562,4696,
