Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by IRSD Deciles at SA2 Level (Area)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"IRSD Deciles at SA2 Level (Area)","Decile 1","Decile 2","Decile 3","Decile 4","Decile 5","Decile 6","Decile 7","Decile 8","Decile 9","Decile 10","Not applicable","Total",
"Broken Hill",17709,0,0,0,0,0,0,0,0,0,0,17709,
"Far West",2507,0,0,0,0,0,0,0,0,0,0,2507,
"Coonabarabran",0,7950,0,0,0,0,0,0,0,0,0,7950,
"Dubbo - East",0,0,10379,0,0,0,0,0,0,0,0,10379,
"Dubbo - South",0,0,0,16942,0,0,0,0,0,0,0,16942,
"Dubbo - West",0,0,8769,0,0,0,0,0,0,0,0,8769,
"Dubbo Region",0,0,0,0,0,0,5626,0,0,0,0,5626,
"Gilgandra",0,4376,0,0,0,0,0,0,0,0,0,4376,
"Narromine",0,6537,0,0,0,0,0,0,0,0,0,6537,
"Wellington",8831,0,0,0,0,0,0,0,0,0,0,8831,
"Branxton - Greta - Pokolbin",0,0,0,0,0,10124,0,0,0,0,0,10124,
"Cessnock",21995,0,0,0,0,0,0,0,0,0,0,21995,
"Cessnock Region",0,0,0,0,7926,0,0,0,0,0,0,7926,
"Dungog",0,0,0,0,8976,0,0,0,0,0,0,8976,
"Kurri Kurri - Abermain",17639,0,0,0,0,0,0,0,0,0,0,17639,
"Singleton",0,0,0,16094,0,0,0,0,0,0,0,16094,
"Singleton Region",0,0,0,0,0,4922,0,0,0,0,0,4922,
"Maitland",0,0,0,6601,0,0,0,0,0,0,0,6601,
"Maitland - East",0,0,0,27416,0,0,0,0,0,0,0,27416,
"Maitland - North",0,0,0,0,0,0,0,7611,0,0,0,7611,
"Maitland - West",0,0,22525,0,0,0,0,0,0,0,0,22525,
"Thornton - Millers Forest",0,0,0,0,0,0,10003,0,0,0,0,10003,
"Anna Bay",0,0,0,0,5726,0,0,0,0,0,0,5726,
"Lemon Tree Passage - Tanilba Bay",0,0,6685,0,0,0,0,0,0,0,0,6685,
"Nelson Bay Peninsula",0,0,0,0,21015,0,0,0,0,0,0,21015,
"Raymond Terrace",13825,0,0,0,0,0,0,0,0,0,0,13825,
"Seaham - Woodville",0,0,0,0,0,0,0,0,5412,0,0,5412,
"Tea Gardens - Hawks Nest",0,0,0,5038,0,0,0,0,0,0,0,5038,
"Williamtown - Medowie - Karuah",0,0,0,0,0,13673,0,0,0,0,0,13673,
"Muswellbrook",0,12072,0,0,0,0,0,0,0,0,0,12072,
"Muswellbrook Region",0,0,0,4013,0,0,0,0,0,0,0,4013,
"Scone",0,0,0,5823,0,0,0,0,0,0,0,5823,
"Scone Region",0,0,0,8288,0,0,0,0,0,0,0,8288,
"Dapto - Avondale",0,0,23460,0,0,0,0,0,0,0,0,23460,
"Horsley - Kembla Grange",0,0,0,0,0,0,0,8655,0,0,0,8655,
"Port Kembla Industrial",0,0,0,0,0,0,0,0,0,0,13,13,
"Unanderra - Mount Kembla",0,0,0,0,0,15374,0,0,0,0,0,15374,
"Berkeley - Lake Heights - Cringila",13797,0,0,0,0,0,0,0,0,0,0,13797,
"Port Kembla - Warrawong",9751,0,0,0,0,0,0,0,0,0,0,9751,
"Windang - Primbee",0,4301,0,0,0,0,0,0,0,0,0,4301,
"Illawarra Catchment Reserve",0,0,0,0,0,0,0,0,0,0,7,7,
"Albion Park - Macquarie Pass",0,0,0,0,0,14331,0,0,0,0,0,14331,
"Albion Park Rail",0,6918,0,0,0,0,0,0,0,0,0,6918,
"Kiama",0,0,0,0,0,0,7695,0,0,0,0,7695,
"Kiama Downs - Minnamurra",0,0,0,0,0,0,0,0,5875,0,0,5875,
"Kiama Hinterland - Gerringong",0,0,0,0,0,0,0,0,7812,0,0,7812,
"Shellharbour - Flinders",0,0,0,0,0,0,16831,0,0,0,0,16831,
"Shellharbour - Oak Flats",0,0,0,9951,0,0,0,0,0,0,0,9951,
"Warilla",20422,0,0,0,0,0,0,0,0,0,0,20422,
"Balgownie - Fairy Meadow",0,0,0,0,21201,0,0,0,0,0,0,21201,
"Corrimal - Tarrawanna - Bellambi",0,0,15421,0,0,0,0,0,0,0,0,15421,
"Figtree - Keiraville",0,0,0,0,0,0,21083,0,0,0,0,21083,
"Helensburgh",0,0,0,0,0,0,0,0,8788,0,0,8788,
"Thirroul - Austinmer - Coalcliff",0,0,0,0,0,0,0,0,0,11306,0,11306,
"Woonona - Bulli - Russell Vale",0,0,0,0,0,0,19840,0,0,0,0,19840,
"Wollongong - East",0,0,0,0,13968,0,0,0,0,0,0,13968,
"Wollongong - West",0,0,0,16707,0,0,0,0,0,0,0,16707,
"Bulahdelah - Stroud",0,4725,0,0,0,0,0,0,0,0,0,4725,
"Forster",0,14270,0,0,0,0,0,0,0,0,0,14270,
"Forster-Tuncurry Region",0,0,6085,0,0,0,0,0,0,0,0,6085,
"Tuncurry",6182,0,0,0,0,0,0,0,0,0,0,6182,
"Kempsey",14756,0,0,0,0,0,0,0,0,0,0,14756,
"Kempsey Region",0,9024,0,0,0,0,0,0,0,0,0,9024,
"Macksville - Scotts Head",0,4792,0,0,0,0,0,0,0,0,0,4792,
"Nambucca Heads",6752,0,0,0,0,0,0,0,0,0,0,6752,
"Nambucca Heads Region",0,0,7665,0,0,0,0,0,0,0,0,7665,
"South West Rocks",0,0,5133,0,0,0,0,0,0,0,0,5133,
"Lord Howe Island",0,0,0,0,0,0,0,381,0,0,0,381,
"Laurieton - Bonny Hills",0,0,16743,0,0,0,0,0,0,0,0,16743,
"Port Macquarie - East",0,0,0,0,28050,0,0,0,0,0,0,28050,
"Port Macquarie - West",0,0,17326,0,0,0,0,0,0,0,0,17326,
"Port Macquarie Region",0,0,0,0,5293,0,0,0,0,0,0,5293,
"Wauchope",0,0,11150,0,0,0,0,0,0,0,0,11150,
"Gloucester",0,5033,0,0,0,0,0,0,0,0,0,5033,
"Old Bar - Manning Point - Red Head",0,0,0,0,10531,0,0,0,0,0,0,10531,
"Taree",20478,0,0,0,0,0,0,0,0,0,0,20478,
"Taree Region",0,0,12444,0,0,0,0,0,0,0,0,12444,
"Wingham",5374,0,0,0,0,0,0,0,0,0,0,5374,
"Albury - East",0,0,0,0,0,0,15047,0,0,0,0,15047,
"Albury - North",0,9845,0,0,0,0,0,0,0,0,0,9845,
"Albury - South",0,0,0,0,10302,0,0,0,0,0,0,10302,
"Albury Region",0,0,0,0,11611,0,0,0,0,0,0,11611,
"Lavington",14473,0,0,0,0,0,0,0,0,0,0,14473,
"Hay",0,2970,0,0,0,0,0,0,0,0,0,2970,
"Wentworth - Buronga",0,0,5965,0,0,0,0,0,0,0,0,5965,
"Wentworth-Balranald Region",0,0,3611,0,0,0,0,0,0,0,0,3611,
"Corowa",0,0,5482,0,0,0,0,0,0,0,0,5482,
"Corowa Region",0,0,0,6742,0,0,0,0,0,0,0,6742,
"Deniliquin",0,7434,0,0,0,0,0,0,0,0,0,7434,
"Deniliquin Region",0,0,0,6751,0,0,0,0,0,0,0,6751,
"Moama",0,0,0,0,0,5845,0,0,0,0,0,5845,
"Tocumwal - Finley - Jerilderie",0,0,9728,0,0,0,0,0,0,0,0,9728,
"Armidale",0,0,0,23348,0,0,0,0,0,0,0,23348,
"Armidale Region - North",0,0,0,4490,0,0,0,0,0,0,0,4490,
"Armidale Region - South",0,0,0,0,6023,0,0,0,0,0,0,6023,
"Walcha",0,0,0,3226,0,0,0,0,0,0,0,3226,
"Glen Innes",0,8832,0,0,0,0,0,0,0,0,0,8832,
"Inverell",0,11660,0,0,0,0,0,0,0,0,0,11660,
"Inverell Region - East",5235,0,0,0,0,0,0,0,0,0,0,5235,
"Inverell Region - West",0,0,5987,0,0,0,0,0,0,0,0,5987,
"Tenterfield",0,6624,0,0,0,0,0,0,0,0,0,6624,
"Moree",8203,0,0,0,0,0,0,0,0,0,0,8203,
"Moree Region",0,0,5451,0,0,0,0,0,0,0,0,5451,
"Narrabri",0,0,7170,0,0,0,0,0,0,0,0,7170,
"Narrabri Region",0,0,4797,0,0,0,0,0,0,0,0,4797,
"Gunnedah",0,0,9191,0,0,0,0,0,0,0,0,9191,
"Gunnedah Region",0,0,4133,0,0,0,0,0,0,0,0,4133,
"Quirindi",0,7684,0,0,0,0,0,0,0,0,0,7684,
"Tamworth - East",0,0,20372,0,0,0,0,0,0,0,0,20372,
"Tamworth - North",0,0,0,15077,0,0,0,0,0,0,0,15077,
"Tamworth - West",5563,0,0,0,0,0,0,0,0,0,0,5563,
"Tamworth Region",0,0,0,0,18472,0,0,0,0,0,0,18472,
"Belmont - Bennetts Green",0,0,0,0,17724,0,0,0,0,0,0,17724,
"Belmont South - Blacksmiths",0,0,5604,0,0,0,0,0,0,0,0,5604,
"Charlestown - Dudley",0,0,0,0,0,23965,0,0,0,0,0,23965,
"Glendale - Cardiff - Hillsborough",0,0,0,0,23387,0,0,0,0,0,0,23387,
"Mount Hutton - Windale",8901,0,0,0,0,0,0,0,0,0,0,8901,
"Redhead",0,0,0,0,0,3517,0,0,0,0,0,3517,
"Swansea - Caves Beach",0,0,0,11546,0,0,0,0,0,0,0,11546,
"Valentine - Eleebana",0,0,0,0,0,0,0,0,11994,0,0,11994,
"Warners Bay - Boolaroo",0,0,0,0,0,13371,0,0,0,0,0,13371,
"Bolton Point - Teralba",0,8523,0,0,0,0,0,0,0,0,0,8523,
"Bonnells Bay - Silverwater",0,0,0,0,8719,0,0,0,0,0,0,8719,
"Edgeworth - Cameron Park",0,0,0,0,0,14200,0,0,0,0,0,14200,
"Morisset - Cooranbong",0,0,0,14963,0,0,0,0,0,0,0,14963,
"Toronto - Awaba",0,0,13425,0,0,0,0,0,0,0,0,13425,
"Wangi Wangi - Rathmines",0,0,0,0,0,8897,0,0,0,0,0,8897,
"West Wallsend - Barnsley - Killingworth",0,0,0,6481,0,0,0,0,0,0,0,6481,
"Adamstown - Kotara",0,0,0,0,0,0,0,15600,0,0,0,15600,
"Beresfield - Hexham",8358,0,0,0,0,0,0,0,0,0,0,8358,
"Hamilton - Broadmeadow",0,0,0,11847,0,0,0,0,0,0,0,11847,
"Lambton - New Lambton",0,0,0,0,0,16526,0,0,0,0,0,16526,
"Maryland - Fletcher - Minmi",0,0,0,0,0,0,13570,0,0,0,0,13570,
"Mayfield - Warabrook",0,0,14873,0,0,0,0,0,0,0,0,14873,
"Merewether - The Junction",0,0,0,0,0,0,0,0,13622,0,0,13622,
"Newcastle - Cooks Hill",0,0,0,0,0,0,10757,0,0,0,0,10757,
"Newcastle Port - Kooragang",0,0,0,0,0,0,0,0,0,0,16,16,
"Shortland - Jesmond",11544,0,0,0,0,0,0,0,0,0,0,11544,
"Stockton - Fullerton Cove",0,0,0,7495,0,0,0,0,0,0,0,7495,
"Wallsend - Elermore Vale",0,0,19628,0,0,0,0,0,0,0,0,19628,
"Waratah - North Lambton",0,0,0,12059,0,0,0,0,0,0,0,12059,
"Wickham - Carrington - Tighes Hill",0,0,0,0,8003,0,0,0,0,0,0,8003,
"Ballina",0,0,17115,0,0,0,0,0,0,0,0,17115,
"Ballina Region",0,0,0,0,0,16835,0,0,0,0,0,16835,
"Bangalow",0,0,0,0,0,0,0,5670,0,0,0,5670,
"Brunswick Heads - Ocean Shores",0,0,0,8212,0,0,0,0,0,0,0,8212,
"Byron Bay",0,0,0,0,0,9503,0,0,0,0,0,9503,
"Evans Head",0,5219,0,0,0,0,0,0,0,0,0,5219,
"Lennox Head - Skennars Head",0,0,0,0,0,0,0,7741,0,0,0,7741,
"Mullumbimby",0,0,0,7994,0,0,0,0,0,0,0,7994,
"Casino",12231,0,0,0,0,0,0,0,0,0,0,12231,
"Casino Region",0,6972,0,0,0,0,0,0,0,0,0,6972,
"Goonellabah",0,0,13122,0,0,0,0,0,0,0,0,13122,
"Kyogle",0,7312,0,0,0,0,0,0,0,0,0,7312,
"Lismore",0,15282,0,0,0,0,0,0,0,0,0,15282,
"Lismore Region",0,0,0,0,15028,0,0,0,0,0,0,15028,
"Kingscliff - Fingal Head",0,0,0,0,0,13150,0,0,0,0,0,13150,
"Murwillumbah",0,8942,0,0,0,0,0,0,0,0,0,8942,
"Murwillumbah Region",0,0,0,9653,0,0,0,0,0,0,0,9653,
"Pottsville",0,0,0,0,13181,0,0,0,0,0,0,13181,
"Tweed Heads",0,0,19418,0,0,0,0,0,0,0,0,19418,
"Banora Point",0,0,0,15636,0,0,0,0,0,0,0,15636,
"Terranora - North Tumblegum",0,0,0,0,0,0,0,3249,0,0,0,3249,
"Tweed Heads South",8146,0,0,0,0,0,0,0,0,0,0,8146,
"Griffith (NSW)",0,0,19143,0,0,0,0,0,0,0,0,19143,
"Griffith Region",0,0,0,12880,0,0,0,0,0,0,0,12880,
"Leeton",0,0,10086,0,0,0,0,0,0,0,0,10086,
"Narrandera",0,6034,0,0,0,0,0,0,0,0,0,6034,
"Tumbarumba",0,0,3445,0,0,0,0,0,0,0,0,3445,
"Tumut",0,6275,0,0,0,0,0,0,0,0,0,6275,
"Tumut Region",0,0,0,4715,0,0,0,0,0,0,0,4715,
"Cootamundra",0,7566,0,0,0,0,0,0,0,0,0,7566,
"Gundagai",0,0,3596,0,0,0,0,0,0,0,0,3596,
"Junee",0,6245,0,0,0,0,0,0,0,0,0,6245,
"Temora",0,0,6717,0,0,0,0,0,0,0,0,6717,
"Wagga Wagga - East",0,0,0,0,0,16585,0,0,0,0,0,16585,
"Wagga Wagga - North",0,0,0,0,0,0,0,4404,0,0,0,4404,
"Wagga Wagga - South",0,0,0,21266,0,0,0,0,0,0,0,21266,
"Wagga Wagga - West",0,0,12155,0,0,0,0,0,0,0,0,12155,
"Wagga Wagga Region",0,0,0,0,0,14819,0,0,0,0,0,14819,
"Berry - Kangaroo Valley",0,0,0,0,0,0,8788,0,0,0,0,8788,
"Callala Bay - Currarong",0,0,0,3611,0,0,0,0,0,0,0,3611,
"Culburra Beach",0,0,4962,0,0,0,0,0,0,0,0,4962,
"Ettrema - Sassafras - Budawang",0,0,0,0,0,54,0,0,0,0,0,54,
"Huskisson - Vincentia",0,0,0,0,0,0,4194,0,0,0,0,4194,
"North Nowra - Bomaderry",0,0,0,15759,0,0,0,0,0,0,0,15759,
"Nowra",0,20040,0,0,0,0,0,0,0,0,0,20040,
"St Georges Basin - Erowal Bay",0,14006,0,0,0,0,0,0,0,0,0,14006,
"Sussex Inlet - Berrara",0,4345,0,0,0,0,0,0,0,0,0,4345,
"Tomerong - Wandandian - Woollamia",0,0,0,0,0,0,3405,0,0,0,0,3405,
"Ulladulla",0,0,0,15279,0,0,0,0,0,0,0,15279,
"Ulladulla Region",0,0,0,0,5063,0,0,0,0,0,0,5063,
"Bowral",0,0,0,0,0,0,0,12948,0,0,0,12948,
"Hill Top - Colo Vale",0,0,0,0,6026,0,0,0,0,0,0,6026,
"Mittagong",0,0,0,0,0,8999,0,0,0,0,0,8999,
"Moss Vale - Berrima",0,0,0,0,9801,0,0,0,0,0,0,9801,
"Robertson - Fitzroy Falls",0,0,0,0,0,0,0,3506,0,0,0,3506,
"Southern Highlands",0,0,0,0,0,0,0,6585,0,0,0,6585,
"Baulkham Hills (East)",0,0,0,0,0,0,0,0,22943,0,0,22943,
"Baulkham Hills (West) - Bella Vista",0,0,0,0,0,0,0,0,0,20068,0,20068,
"Glenhaven",0,0,0,0,0,0,0,0,0,6253,0,6253,
"West Pennant Hills",0,0,0,0,0,0,0,0,0,12640,0,12640,
"Castle Hill - Central",0,0,0,0,0,0,0,0,0,7609,0,7609,
"Castle Hill - East",0,0,0,0,0,0,0,5594,0,0,0,5594,
"Castle Hill - North",0,0,0,0,0,0,0,0,0,11886,0,11886,
"Castle Hill - South",0,0,0,0,0,0,0,0,0,9519,0,9519,
"Castle Hill - West",0,0,0,0,0,0,0,0,0,5239,0,5239,
"Cherrybrook",0,0,0,0,0,0,0,0,0,18768,0,18768,
"Kellyville",0,0,0,0,0,0,0,0,0,23231,0,23231,
"Dural - Kenthurst - Wisemans Ferry",0,0,0,0,0,0,0,0,0,21019,0,21019,
"Galston - Laughtondale",0,0,0,0,0,0,0,0,0,5210,0,5210,
"Bilpin - Colo - St Albans",0,0,0,0,0,2691,0,0,0,0,0,2691,
"Kurrajong Heights - Ebenezer",0,0,0,0,0,0,0,0,21898,0,0,21898,
"Pitt Town - McGraths Hill",0,0,0,0,0,0,0,0,10531,0,0,10531,
"Rouse Hill - Beaumont Hills",0,0,0,0,0,0,0,0,0,22651,0,22651,
"Blacktown (East) - Kings Park",0,0,0,16920,0,0,0,0,0,0,0,16920,
"Blacktown (North) - Marayong",0,0,18024,0,0,0,0,0,0,0,0,18024,
"Doonside - Woodcroft",0,0,0,22526,0,0,0,0,0,0,0,22526,
"Lalor Park - Kings Langley",0,0,0,0,0,24874,0,0,0,0,0,24874,
"Seven Hills - Toongabbie",0,0,0,0,23920,0,0,0,0,0,0,23920,
"Blacktown (South)",0,0,0,12325,0,0,0,0,0,0,0,12325,
"Blacktown (West)",0,0,0,16154,0,0,0,0,0,0,0,16154,
"Glenwood",0,0,0,0,0,0,0,0,0,16128,0,16128,
"Parklea - Kellyville Ridge",0,0,0,0,0,0,0,0,0,32645,0,32645,
"Riverstone - Marsden Park",0,0,0,0,0,0,17307,0,0,0,0,17307,
"Acacia Gardens",0,0,0,0,0,0,0,0,0,3796,0,3796,
"Quakers Hill",0,0,0,0,0,0,0,22945,0,0,0,22945,
"Bidwill - Hebersham - Emerton",18439,0,0,0,0,0,0,0,0,0,0,18439,
"Glendenning - Dean Park",0,0,0,0,8354,0,0,0,0,0,0,8354,
"Hassall Grove - Plumpton",0,0,0,0,20673,0,0,0,0,0,0,20673,
"Lethbridge Park - Tregear",20705,0,0,0,0,0,0,0,0,0,0,20705,
"Mount Druitt - Whalan",22701,0,0,0,0,0,0,0,0,0,0,22701,
"Prospect Reservoir",0,0,0,0,0,0,0,0,0,0,39,39,
"Rooty Hill - Minchinbury",0,0,0,0,21152,0,0,0,0,0,0,21152,
"Banksmeadow",0,0,0,0,0,0,0,0,0,0,18,18,
"Botany",0,0,0,0,0,0,10822,0,0,0,0,10822,
"Mascot - Eastlakes",0,0,0,0,24407,0,0,0,0,0,0,24407,
"Pagewood - Hillsdale - Daceyville",0,0,0,11374,0,0,0,0,0,0,0,11374,
"Port Botany Industrial",0,0,0,0,0,0,0,0,0,0,11,11,
"Sydney Airport",0,0,0,0,0,0,0,0,0,0,61,61,
"Marrickville",0,0,0,0,26540,0,0,0,0,0,0,26540,
"Petersham - Stanmore",0,0,0,0,0,0,0,0,20234,0,0,20234,
"Sydenham - Tempe - St Peters",0,0,0,0,0,0,7840,0,0,0,0,7840,
"Darlinghurst",0,0,0,0,0,0,0,0,11317,0,0,11317,
"Erskineville - Alexandria",0,0,0,0,0,0,0,0,0,16236,0,16236,
"Glebe - Forest Lodge",0,0,0,0,0,0,19614,0,0,0,0,19614,
"Newtown - Camperdown - Darlington",0,0,0,0,0,0,0,0,24840,0,0,24840,
"Potts Point - Woolloomooloo",0,0,0,0,0,0,0,21200,0,0,0,21200,
"Pyrmont - Ultimo",0,0,0,0,21655,0,0,0,0,0,0,21655,
"Redfern - Chippendale",0,0,0,0,22495,0,0,0,0,0,0,22495,
"Surry Hills",0,0,0,0,0,0,16416,0,0,0,0,16416,
"Sydney - Haymarket - The Rocks",0,0,0,27408,0,0,0,0,0,0,0,27408,
"Waterloo - Beaconsfield",0,0,0,0,0,33061,0,0,0,0,0,33061,
"Bondi - Tamarama - Bronte",0,0,0,0,0,0,0,0,0,18401,0,18401,
"Bondi Beach - North Bondi",0,0,0,0,0,0,0,0,0,20729,0,20729,
