Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"SA2 (UR)",
"Bilpin - Colo - St Albans",79,38,210,201,479,599,4,147,76,408,452,2691,
"Kurrajong Heights - Ebenezer",488,298,1854,1823,4223,5159,14,1448,611,1549,4426,21898,
"Pitt Town - McGraths Hill",172,99,756,782,2064,2694,0,743,301,645,2278,10531,
"Rouse Hill - Beaumont Hills",1157,317,3534,1919,2402,5097,12,911,590,872,5847,22651,
"Blacktown (East) - Kings Park",1092,161,2321,1327,1712,4061,15,1035,545,1222,3437,16920,
"Blacktown (North) - Marayong",677,129,1930,1250,2112,4946,15,1510,629,1121,3707,18024,
"Doonside - Woodcroft",1014,197,3362,1503,2094,6112,25,1508,675,1355,4690,22526,
"Lalor Park - Kings Langley",951,311,2806,1873,3164,6502,19,1675,831,1800,4961,24874,
"Seven Hills - Toongabbie",1249,239,2992,1750,2603,6271,16,1705,737,1607,4752,23920,
"Blacktown (South)",492,102,1392,875,1298,3466,12,878,402,813,2598,12325,
"Blacktown (West)",635,131,1822,1146,1811,4411,10,1213,584,1073,3321,16154,
"Glenwood",1171,196,2809,1252,1346,3976,5,640,485,505,3749,16128,
"Parklea - Kellyville Ridge",2235,443,5537,2558,2759,6306,5,998,742,2237,8826,32645,
"Riverstone - Marsden Park",704,162,2018,1121,2211,4070,13,1285,515,1301,3899,17307,
"Acacia Gardens",227,55,647,298,418,862,0,146,112,132,898,3796,
"Quakers Hill",1258,310,3340,1824,2550,5589,13,1023,633,950,5448,22945,
"Bidwill - Hebersham - Emerton",149,46,682,740,1797,5799,38,2030,577,1936,4658,18439,
"Glendenning - Dean Park",256,62,897,594,997,2280,4,511,238,444,2074,8354,
"Hassall Grove - Plumpton",499,131,2358,1418,2316,6208,8,1213,612,1140,4777,20673,
"Lethbridge Park - Tregear",434,77,1150,927,2002,5907,37,1976,483,2215,5495,20705,
"Mount Druitt - Whalan",681,123,2047,1299,2109,6190,25,1987,868,1720,5656,22701,
"Prospect Reservoir",0,0,0,0,10,3,0,0,0,20,4,39,
"Rooty Hill - Minchinbury",577,145,2641,1399,2444,6044,22,1578,751,1184,4364,21152,
"Banksmeadow",0,0,0,0,10,9,0,4,0,4,5,18,
"Botany",514,128,1383,894,1286,2579,3,571,298,926,2227,10822,
"Mascot - Eastlakes",1727,270,4270,1828,2079,6366,6,1491,878,1813,3693,24407,
"Pagewood - Hillsdale - Daceyville",593,114,1460,799,1141,2966,3,756,408,1137,1995,11374,
"Port Botany Industrial",0,0,0,0,0,3,0,0,0,0,0,11,
"Sydney Airport",5,0,4,0,7,8,0,0,0,28,0,61,
"Marrickville",2103,580,5376,1863,1938,5597,8,1791,1100,2397,3778,26540,
"Petersham - Stanmore",2105,598,5005,1574,1422,3551,7,810,580,1877,2706,20234,
"Sydenham - Tempe - St Peters",561,184,1557,636,718,1790,4,389,247,582,1171,7840,
"Darlinghurst",1436,294,3506,890,549,1763,3,170,275,1899,542,11317,
"Erskineville - Alexandria",2042,518,4808,1349,1083,2677,3,258,330,1412,1755,16236,
"Glebe - Forest Lodge",2652,506,5326,1373,996,3850,10,549,428,2159,1740,19614,
"Newtown - Camperdown - Darlington",2905,698,7160,1578,1297,5755,9,487,480,2332,2134,24840,
"Potts Point - Woolloomooloo",2446,526,5510,1633,1290,3349,5,321,484,4850,788,21200,
"Pyrmont - Ultimo",2483,377,6194,1723,932,4885,5,447,566,2477,1561,21655,
"Redfern - Chippendale",2456,462,6282,1625,1135,5089,4,613,628,2942,1267,22495,
"Surry Hills",1965,384,4911,1358,877,2830,4,434,486,2359,807,16416,
"Sydney - Haymarket - The Rocks",2834,307,7275,2852,931,6241,9,443,717,4552,1251,27408,
"Waterloo - Beaconsfield",3493,570,7748,2467,2172,8086,9,1067,908,3717,2826,33061,
"Bondi - Tamarama - Bronte",1814,383,4857,1486,1135,3008,4,415,515,1983,2812,18401,
"Bondi Beach - North Bondi",1875,451,5704,1546,1172,3342,0,362,527,2558,3189,20729,
"Bondi Junction - Waverly",1615,354,4203,1248,918,2946,4,405,435,2210,2525,16853,
"Centennial Park",0,0,0,0,0,0,0,0,0,0,0,0,
"Double Bay - Bellevue Hill",2700,569,6895,1829,942,4565,0,497,645,2664,3575,24870,
"Dover Heights",861,203,2664,927,638,2007,0,257,296,790,2180,10830,
"Paddington - Moore Park",2003,436,4594,1044,664,2313,3,241,343,1553,1976,15171,
"Rose Bay - Vaucluse - Watsons Bay",1019,212,2900,841,457,2432,0,356,325,904,2405,11844,
"Woollahra",907,191,2309,509,278,1217,0,139,182,830,1136,7686,
"Coogee - Clovelly",2540,669,6250,1939,1800,4421,0,653,620,2355,4199,25455,
"Malabar - La Perouse - Chifley",1180,271,2831,1680,2516,5692,17,1346,720,3807,3990,24036,
"Kensington (NSW)",1545,204,3232,895,703,4875,0,359,356,1249,1463,14887,
"Kingsford",1648,217,3731,894,830,4432,0,654,445,983,1767,15602,
"Maroubra - North",834,176,2072,726,758,2086,6,508,335,705,1598,9812,
"Maroubra - South",814,195,1938,823,960,2373,4,516,344,966,1752,10681,
"Maroubra - West",915,140,2047,720,707,2499,4,473,320,762,1618,10195,
"Randwick - North",1770,431,4258,1317,1261,2932,0,434,472,1334,2677,16874,
"Randwick - South",1404,301,3229,919,875,2402,0,333,268,1496,1888,13113,
"Bass Hill - Georges Hall",408,116,1599,1368,2248,6412,15,2007,1028,1725,4911,21834,
"Chullora",56,13,164,78,59,195,0,30,32,76,188,900,
"Condell Park",242,68,1011,714,1099,3341,3,954,479,736,2655,11305,
"Greenacre - Mount Lewis",681,163,2203,1517,2189,7615,7,2098,1194,2017,6285,25964,
"Padstow",621,195,2018,1260,1950,4639,10,1236,653,1095,2800,16475,
"Panania - Milperra - Picnic Point",828,280,2847,2029,3599,6836,9,1702,908,1526,5229,25788,
"Revesby",550,146,1931,1203,1863,4466,6,1305,604,1078,3073,16223,
"Yagoona - Birrong",469,118,1877,1267,1888,6263,17,1864,925,1516,4496,20706,
"Bankstown - North",764,121,1978,1114,1115,4362,12,1130,658,1324,3659,16237,
"Bankstown - South",443,81,1628,1030,1096,4675,18,1314,844,1480,3387,15993,
"Belmore - Belfield",651,158,2124,1382,1741,5361,5,1733,925,1420,3524,19033,
"Canterbury (South) - Campsie",1668,278,4353,2325,2069,9187,12,2304,1468,2172,4786,30620,
"Kingsgrove (North) - Earlwood",999,305,3138,1827,2277,5654,6,2310,1076,1728,4367,23679,
"Punchbowl",595,103,1807,1266,1622,6218,6,1805,1090,1572,4673,20753,
"Roselands",435,96,1520,965,1348,3768,4,1114,619,939,2921,13739,
"Lakemba",1123,138,2111,889,876,4118,10,1380,855,1251,4286,17019,
"Wiley Park",637,88,1316,661,574,2549,8,695,418,795,2477,10217,
"Hurstville",2196,230,4275,1725,1289,6569,7,1417,930,1505,3471,23613,
"Mortdale - Penshurst",1650,365,4128,1918,2290,5808,7,1358,828,1431,4126,23907,
"Narwee - Beverly Hills",667,138,1983,1030,1128,3916,10,1004,598,965,2344,13781,
"Oatley - Hurstville Grove",890,242,2419,1040,1188,2935,4,603,473,591,2222,12614,
"Peakhurst - Lugarno",679,257,2344,1522,2140,4682,5,1252,735,1057,3256,17937,
"Riverwood",530,96,1417,777,843,3321,10,992,533,975,1774,11277,
"South Hurstville - Blakehurst",1802,290,4435,2024,1727,6323,6,1348,907,1244,3966,24070,
"Arncliffe - Bardwell Valley",1839,291,4296,1693,1540,5224,4,1094,789,1693,2974,21443,
"Bexley",1451,267,3875,2036,2197,6944,3,1732,1032,2213,4727,26480,
"Kingsgrove (South) - Bardwell Park",541,159,1829,1035,1147,3351,8,1021,536,726,2268,12615,
"Kogarah",1015,145,2312,906,806,2603,0,527,384,758,1857,11315,
"Kogarah Bay - Carlton - Allawah",1051,191,2750,1401,1371,3963,6,978,614,938,2703,15965,
"Monterey - Brighton-le-Sands - Kyeemagh",582,151,1909,1208,1410,3522,3,971,591,1374,2241,13972,
"Rockdale - Banksia",1481,214,3643,1569,1452,5040,5,1144,725,1913,2775,19960,
"Sans Souci - Ramsgate",599,185,2037,1426,1851,4033,13,1151,689,1327,2656,15976,
"Concord - Mortlake - Cabarita",1485,411,3985,1852,1991,4842,8,1310,883,1251,3734,21742,
"Concord West - North Strathfield",3306,398,6003,1831,1294,5275,5,792,688,1585,3669,24850,
"Drummoyne - Rodd Point",1460,457,3819,1520,1437,3378,6,971,638,1450,3185,18326,
"Five Dock - Abbotsford",1399,441,3756,1717,1790,4127,4,1308,808,1573,3516,20440,
"Balmain",2037,509,4055,1157,760,2358,8,368,319,1390,2736,15686,
"Leichhardt - Annandale",2753,773,6234,1962,1660,4457,4,950,627,2007,4953,26388,
"Lilyfield - Rozelle",1467,390,3279,1072,915,2349,0,457,337,1144,2581,13991,
"Ashfield",2438,496,5463,1942,1512,5409,9,1249,878,2064,3033,24497,
"Burwood - Croydon",2398,370,5206,1831,1283,6519,6,1436,967,1628,3005,24653,
"Canterbury (North) - Ashbury",754,230,1836,831,930,2308,3,742,394,671,1749,10449,
"Croydon Park - Enfield",997,271,2811,1309,1591,4259,9,1195,694,1120,2967,17222,
"Dulwich Hill - Lewisham",1466,544,3491,1308,1364,3212,3,928,554,1389,2555,16809,
"Haberfield - Summer Hill",1264,328,2870,999,952,2519,0,928,402,917,2288,13474,
"Homebush",1809,229,3483,1183,798,3674,4,526,482,1549,2486,16211,
"Strathfield",2492,352,6120,1740,1117,6391,10,1004,879,1768,3137,25016,
"Strathfield South",220,63,628,283,295,917,0,179,98,226,637,3542,
"Chatswood (East) - Artarmon",3367,577,7193,2051,1074,5931,5,901,786,1782,5012,28683,
"Chatswood (West) - Lane Cove North",2528,501,5377,1719,1113,3767,3,518,621,1119,3591,20857,
"Lane Cove - Greenwich",3191,737,6893,1954,1229,4696,4,806,697,1347,5179,26733,
"St Leonards - Naremburn",1488,289,3088,805,499,1533,4,218,233,749,1600,10500,
"Willoughby - Castle Cove - Northbridge",2484,614,6106,1892,1126,4585,7,899,743,1202,5811,25463,
"Asquith - Mount Colah",1090,397,3087,1693,2149,3959,7,626,659,720,3894,18291,
"Berowra - Brooklyn - Cowan",631,256,1812,1072,1542,2486,6,437,392,521,2558,11699,
"Normanhurst - Thornleigh - Westleigh",1640,486,3748,1508,1277,3809,0,684,655,881,3856,18531,
"Hornsby - East",1325,236,2719,967,723,2405,0,386,375,541,2108,11798,
"Hornsby - West",938,250,2030,947,906,2135,6,405,309,680,2085,10684,
"Waitara - Wahroonga (West)",1138,215,2284,736,504,1631,4,268,279,590,1947,9602,
"Gordon - Killara",2683,456,5505,1422,665,4249,3,675,593,1132,3957,21328,
"Lindfield - Roseville",2782,603,5951,1651,793,4181,0,656,610,1007,4916,23147,
"Pymble",1958,452,4033,1170,577,3039,0,475,414,597,3636,16354,
"St Ives",2156,461,4738,1748,891,3981,0,628,664,909,4280,20456,
"Turramurra",1943,516,4469,1599,899,3716,0,594,646,1129,3752,19267,
"Wahroonga (East) - Warrawee",1822,452,4259,1419,795,3535,0,580,525,1023,3413,17822,
"Cremorne - Cammeray",2225,584,5438,1714,905,2975,0,286,508,1383,3052,19084,
"Crows Nest - Waverton",2507,593,5551,1554,834,2665,3,250,453,1281,2340,18026,
"Mosman",3316,723,7417,2313,1074,5022,4,635,768,2198,5014,28476,
"Neutral Bay - Kirribilli",2312,527,5470,1539,813,2806,4,267,511,1679,1924,17852,
"North Sydney - Lavender Bay",1665,321,3344,824,401,1555,0,181,270,1088,1064,10703,
"Balgowlah - Clontarf - Seaforth",1581,486,4651,1690,1188,3603,3,541,614,1042,4791,20188,
"Manly - Fairlight",2302,543,5943,1876,1295,3630,4,446,592,1982,3081,21704,
"Avalon - Palm Beach",669,273,2222,1325,1296,2802,0,361,419,733,2276,12374,
"Bayview - Elanora Heights",568,192,1746,1092,1171,2361,3,359,403,892,1948,10745,
"Newport - Bilgola",693,276,2392,1446,1538,2833,3,344,434,641,2582,13186,
"Warriewood - Mona Vale",987,400,3494,2327,3111,5292,14,918,836,1814,4948,24134,
"Beacon Hill - Narraweena",521,193,1875,1195,1704,3299,7,830,556,905,2794,13882,
"Cromer",246,100,951,765,1011,1718,4,376,283,467,1563,7485,
"Dee Why - North Curl Curl",1273,427,4447,2443,2841,5494,39,941,885,1799,4354,24949,
"Forestville - Killarney Heights",879,267,2347,1071,995,2765,3,557,410,551,2950,12796,
"Frenchs Forest - Belrose",1335,462,4207,2470,2377,5620,8,1007,936,1282,5470,25171,
"Freshwater - Brookvale",1410,425,4365,1935,2067,4002,5,670,606,1388,4095,20978,
"Manly Vale - Allambie Heights",954,370,3008,1493,1687,3313,5,587,535,1032,3876,16870,
"Narrabeen - Collaroy",1009,444,3899,2377,3150,5421,12,1024,901,2122,4409,24771,
"Terrey Hills - Duffys Forest",175,68,554,333,434,820,0,166,134,245,719,3648,
"Camden - Ellis Lane",341,197,1314,1043,2157,3045,14,843,389,1018,2589,12963,
"Elderslie - Harrington Park",475,265,1913,1698,3254,5380,18,1235,513,1087,5142,20980,
"Mount Annan - Currans Hill",607,285,2372,2284,4604,7663,16,1617,694,1168,7264,28576,
"Bradbury - Wedderburn",265,118,1025,1144,2813,5597,18,1571,591,1372,4450,18962,
"Campbelltown - Woodbine",524,157,1756,1289,2329,5165,21,1364,575,1566,3456,18194,
"Claymore - Eagle Vale - Raby",312,133,1272,1371,3018,6138,29,1498,681,1413,4541,20405,
"Holsworthy Military Area",0,0,0,0,0,0,0,0,0,0,0,0,
"Ingleburn - Denham Court",886,186,2369,1384,2387,5421,18,1126,615,1475,4118,19985,
"Leumeah - Minto Heights",403,134,1220,1159,2612,4796,24,1287,532,1096,3285,16541,
"Macquarie Fields - Glenfield",1234,174,2424,1479,2451,6079,22,1652,705,2079,5257,23556,
"Minto - St Andrews",699,145,1722,1314,2374,5855,17,1414,687,1267,4397,19887,
"Rosemeadow - Glen Alpine",357,171,1437,1394,2947,6142,26,1520,719,1660,4505,20876,
"Bargo",63,49,286,389,1142,1516,0,493,172,422,1218,5740,
"Douglas Park - Appin",203,120,822,794,1825,2223,3,523,261,612,2236,9625,
"Picton - Tahmoor - Buxton",324,160,1088,1149,3068,4232,21,1184,457,1530,3567,16786,
"The Oaks - Oakdale",205,90,626,622,1753,2239,9,590,252,646,1957,8997,
"Blackheath - Megalong Valley",332,148,848,522,722,1187,8,261,177,470,885,5560,
"Blaxland - Warrimoo - Lapstone",1058,525,2923,1750,2622,4015,10,753,565,890,3831,18936,
"Blue Mountains - North",0,0,3,0,5,0,0,0,0,0,0,12,
"Katoomba - Leura",789,331,1918,1297,1597,2916,12,651,453,1377,1886,13222,
"Lawson - Hazelbrook - Linden",557,307,1497,1076,1760,2403,4,525,294,585,2245,11253,
"Springwood - Winmalee",1065,540,2879,2124,3164,4774,9,1086,686,1099,4197,21633,
"Wentworth Falls",391,175,935,580,749,1277,6,280,220,472,1001,6077,
"Blue Mountains - South",0,0,0,0,0,0,0,0,0,0,0,5,
"Cambridge Park",222,87,849,952,2783,4755,13,1274,462,964,3284,15644,
"Castlereagh - Cranebrook",580,206,1898,1666,3829,6402,21,1563,555,1404,5598,23724,
"Emu Plains - Leonay",409,197,1233,1115,2304,3723,8,987,430,996,2823,14223,
"Glenmore Park - Regentville",563,230,1968,1745,3153,5960,11,1093,530,901,5063,21203,
"Jamisontown - South Penrith",345,156,1218,1154,2875,4925,15,1350,473,1198,3577,17288,
"Kingswood - Werrington",632,178,1717,1239,2725,5381,26,1386,514,1490,4289,19577,
"Mulgoa - Luddenham - Orchard Hills",247,81,894,694,1505,2406,4,667,307,662,2079,9541,
"Penrith",401,127,1108,897,1872,3639,13,1230,406,1415,2183,13295,
"Warragamba - Silverdale",67,23,298,318,1032,1438,3,380,150,340,1141,5195,
"Richmond - Clarendon",313,150,1035,1039,2250,3776,11,1226,425,1202,2413,13839,
"Windsor - Bligh Park",223,123,915,980,2813,4348,12,1288,412,1003,3214,15330,
"Yarramundi - Londonderry",79,35,299,346,1255,1730,9,640,157,1520,1311,7376,
"Erskine Park",123,45,543,441,1118,2051,0,380,174,313,1244,6440,
"St Clair",346,122,1455,1306,3186,6141,16,1327,614,1215,4144,19895,
"Colyton - Oxley Park",164,64,585,607,1628,3703,7,1087,387,936,2424,11595,
"St Marys - North St Marys",265,78,933,850,2058,4735,23,1505,454,1860,3314,16074,
"Homebush Bay - Silverwater",1805,305,3859,1341,1013,3266,0,355,441,3382,2958,18733,
"Rookwood Cemetery",0,0,0,0,0,0,0,0,0,0,0,0,
"Auburn - Central",800,91,1898,1036,879,5119,5,1597,1183,1196,3350,17175,
"Auburn - North",679,83,1509,728,494,3175,11,889,878,925,1960,11325,
"Auburn - South",265,55,848,486,523,2590,12,776,491,595,1851,8487,
"Berala",279,66,1150,575,642,2702,12,844,559,488,1593,8898,
"Lidcombe",1051,197,3391,1541,1194,6062,6,1195,946,1445,2945,19988,
"Regents Park",174,32,546,355,404,1528,3,458,267,312,991,5067,
"Carlingford",2481,501,5438,2221,1854,6382,9,1110,976,1260,5122,27359,
"Ermington - Rydalmere",1115,245,3026,1679,2199,5494,12,1268,858,1290,4232,21423,
"Oatlands - Dundas Valley",1235,239,3054,1414,1548,4314,7,892,618,1103,3361,17788,
"Chester Hill - Sefton",338,110,1453,1100,1689,5340,16,1750,921,1786,3958,18461,
"Fairfield - East",232,52,1037,820,1255,4735,10,1540,915,1683,3244,15514,
"Granville - Clyde",932,152,2485,1473,1515,5766,12,1594,1019,1709,4167,20830,
"Greystanes - Pemulwuy",875,250,3052,1920,3146,6963,19,1858,938,1579,5714,26307,
"Guildford - South Granville",481,82,1557,1237,1614,5900,18,1914,1078,1940,5126,20951,
"Guildford West - Merrylands West",535,131,1786,1364,2049,5923,20,1780,1017,1618,4518,20722,
"Merrylands - Holroyd",1109,215,3210,2061,2556,7670,32,2220,1463,1895,6013,28452,
"Smithfield Industrial",0,0,0,0,6,0,0,0,3,0,0,10,
"Yennora Industrial",0,0,0,0,0,6,0,0,0,0,0,14,
"North Parramatta",2029,360,4168,1711,1561,4768,10,933,840,2136,3713,22232,
"North Rocks",573,161,1435,721,733,1694,0,362,287,290,1620,7878,
"Northmead",2491,338,4266,1347,1434,3282,8,701,624,1584,4307,20383,
"Parramatta - Rosehill",3992,431,6876,1965,1240,5348,8,844,873,2636,5043,29243,
"Toongabbie - Constitution Hill",1374,294,3190,1609,2276,5404,8,1465,780,1359,4176,21936,
"Winston Hills",506,190,1668,960,1240,2574,5,488,377,392,2373,10774,
"Pendle Hill - Girraween",1148,148,1885,846,876,2835,10,842,440,945,2867,12842,
"Wentworthville - Westmead",1741,222,2991,982,899,3151,4,792,510,1034,3267,15599,
"Epping - North Epping",3482,630,6488,2020,1314,5695,6,843,820,1058,4731,27093,
"Pennant Hills - Cheltenham",2288,547,4642,1632,1199,4040,6,620,605,977,3935,20495,
"Eastwood - Denistone",2771,460,5436,1925,1438,5915,3,1018,803,1165,4113,25045,
"Gladesville - Huntleys Point",1085,290,2935,1279,1181,2896,6,730,511,915,2582,14409,
"Hunters Hill - Woolwich",938,226,2108,736,539,2099,0,494,317,866,2015,10341,
"Macquarie Park - Marsfield",2822,368,5301,1601,1122,4851,0,712,639,1539,2775,21728,
"North Ryde - East Ryde",985,211,2375,953,1054,2760,3,691,455,584,2246,12311,
"West Ryde - Meadowbank",2155,361,4577,1563,1472,3872,6,695,649,917,3112,19375,
"Putney",267,66,806,361,387,899,0,192,180,187,809,4143,
"Ryde",2315,406,5163,2216,2275,6096,19,1323,957,1828,4580,27174,
"Ashcroft - Busby - Miller",114,47,548,751,1441,5225,32,2075,839,2067,4198,17335,
"Austral - Greendale",83,36,499,435,1302,2429,0,1126,373,981,1655,8918,
"Cobbitty - Leppington",478,154,1607,1327,2667,4316,11,1084,533,1478,4255,17890,
"Badgerys Creek",0,0,0,3,8,13,0,9,6,12,12,59,
"Cecil Hills",152,56,791,530,771,2130,3,461,311,366,1437,7015,
"Green Valley",150,63,984,800,1222,4092,9,1101,715,741,2635,12514,
"Hinchinbrook",219,67,1097,924,1400,3713,9,829,639,605,2792,12295,
"Hoxton Park - Carnes Hill - Horningsea Park",275,65,1139,880,1285,3275,5,677,416,589,2992,11588,
"West Hoxton - Middleton Grange",367,103,1634,1167,1676,4081,6,780,539,795,4034,15187,
"Bonnyrigg Heights - Bonnyrigg",186,66,1235,975,1396,5260,16,1682,1216,850,3096,15980,
"Bossley Park - Abbotsbury",308,103,1725,1321,2142,5673,23,2059,1090,1039,3338,18834,
"Cabramatta - Lansvale",267,73,1680,1203,1514,8432,32,3077,2139,1865,4431,24708,
"Cabramatta West - Mount Pritchard",177,58,1085,898,1606,5536,15,1890,1107,1266,3559,17188,
"Canley Vale - Canley Heights",228,61,1540,1019,1485,6993,31,2568,1597,1299,3997,20819,
"Edensor Park",142,32,914,689,967,3126,14,1011,655,453,1770,9772,
"Fairfield",301,69,1331,1060,1269,5195,19,2362,1456,1244,3385,17704,
"Fairfield - West",242,85,1224,1092,1617,5966,8,2409,1301,1259,3883,19088,
"Greenfield Park - Prairiewood",109,40,705,567,790,2577,10,963,559,435,1583,8336,
"Horsley Park - Kemps Creek",70,20,312,250,681,1152,0,509,178,491,759,4426,
"Smithfield - Wetherill Park",249,83,1262,1132,2023,5198,21,2113,1101,1386,3472,18045,
"St Johns Park - Wakeley",153,48,971,646,989,3367,8,1367,852,632,1844,10866,
"Wetherill Park Industrial",4,0,0,0,6,13,0,4,4,0,0,36,
"Casula",421,125,1603,1183,1692,4290,11,1126,615,1223,3369,15661,
"Chipping Norton - Moorebank",597,164,2060,1436,2503,5014,7,1161,651,1003,4146,18748,
"Holsworthy - Wattle Grove",887,243,2680,1708,2720,5223,10,961,571,1016,4692,20706,
"Liverpool",769,141,2346,1871,2322,6778,26,2405,1286,3502,5718,27172,
"Lurnea - Cartwright",129,31,583,622,1092,3395,20,1279,560,1224,2744,11686,
"Prestons - Edmondson Park",559,127,1935,1379,1799,4727,7,921,610,981,4535,17580,
"Warwick Farm",186,36,554,370,501,1455,5,471,234,922,1052,5798,
"Gymea - Grays Point",739,301,2463,1672,2565,3995,7,815,587,846,3485,17479,
"Miranda - Yowie Bay",700,232,2280,1608,2497,4501,4,1062,659,1368,3318,18230,
"Sylvania - Taren Point",551,188,2037,1388,1989,4155,9,934,615,1292,2781,15940,
"Caringbah",379,186,1413,1130,1737,2860,4,616,422,844,2192,11764,
"Caringbah South",421,226,1685,1139,1631,2851,7,560,476,613,2446,12058,
"Cronulla - Kurnell - Bundeena",1029,440,3387,2423,3708,5334,11,912,837,1980,3427,23487,
"Lilli Pilli - Port Hacking - Dolans Bay",171,57,539,325,405,700,0,122,99,115,634,3149,
"Woolaware - Burraneer",291,129,1178,807,1013,1770,3,317,250,435,1533,7728,
"Heathcote - Waterfall",185,98,632,564,1172,1558,4,395,252,372,1271,6504,
"Illawong - Alfords Point",448,167,1629,966,1454,2639,6,545,431,375,1714,10366,
"Menai - Lucas Heights - Woronora",759,335,2745,1983,3065,5421,10,1004,776,935,4094,21128,
"Oyster Bay - Como - Jannali",1053,435,3215,2054,2611,4576,12,890,717,988,4693,21254,
"Royal National Park",0,0,7,4,0,0,0,0,0,7,9,24,
"Sutherland - Kirrawee",979,346,3002,1930,3046,4595,9,1037,704,1492,3729,20874,
"Engadine",449,242,1752,1519,2983,3930,6,812,569,731,3991,16992,
"Loftus - Yarrawarrah",264,130,916,664,1162,1740,0,317,248,258,1550,7247,
"Woronora Heights",117,90,480,392,591,935,0,120,135,109,679,3646,
"Migratory - Offshore - Shipping (NSW)",9,0,33,29,59,121,0,43,16,77,39,419,
"No Usual Address (NSW)",369,118,1250,662,1412,2946,15,824,332,3611,741,12288,
"Aranda",375,146,538,147,94,385,0,58,49,106,486,2397,
"Belconnen",880,187,1708,441,433,1535,3,133,141,620,562,6651,
"Bruce",840,258,1765,454,395,1838,0,96,123,570,649,6996,
"Charnwood",91,44,291,223,435,807,3,154,80,209,638,2979,
"Cook",432,145,648,166,175,464,0,94,65,120,509,2804,
"Dunlop",306,154,846,602,817,1905,4,301,160,262,1843,7199,
"Evatt",317,158,783,408,569,1254,3,248,123,381,1084,5329,
"Florey",336,139,793,285,438,1273,5,287,115,249,848,4769,
"Flynn (ACT)",189,106,491,302,383,810,0,144,82,150,703,3355,
"Fraser",111,72,320,187,218,468,0,85,48,108,414,2027,
"Giralang",228,123,519,285,374,683,0,155,75,164,697,3312,
"Gooromon",3,0,0,0,0,0,0,0,0,0,0,10,
"Hawker",294,135,648,221,179,600,0,109,70,134,550,2956,
"Higgins",173,82,423,206,388,755,3,147,90,190,623,3069,
"Holt",230,132,590,358,575,1145,7,249,142,328,866,4623,
"Kaleen",566,288,1227,550,703,1683,4,363,214,373,1296,7270,
"Latham",178,90,496,299,481,865,5,143,103,209,779,3637,
"Lawson",22,4,22,15,11,21,0,8,3,4,44,142,
"Macgregor (ACT)",405,167,974,575,849,1579,5,200,153,236,1660,6794,
"Macquarie",269,128,532,171,204,576,0,115,56,140,510,2703,
"McKellar",190,109,476,180,263,652,4,155,76,165,478,2749,
"Melba",192,117,510,268,309,713,4,131,95,156,655,3148,
"Page",217,98,503,246,265,651,0,135,97,327,485,3023,
"Scullin",224,81,485,202,308,649,0,120,72,186,600,2931,
"Spence",135,66,378,221,307,612,0,125,64,141,546,2584,
"Weetangera",314,141,565,177,165,457,0,93,55,94,511,2575,
"Molonglo Corridor",0,0,3,0,0,0,0,0,0,3,0,14,
"West Belconnen",0,0,0,0,3,5,0,0,0,3,3,16,
"Hume",0,0,0,0,0,0,0,0,0,420,0,424,
"Kowen",0,0,0,4,6,6,0,0,0,8,16,39,
"Canberra East",25,13,49,48,122,227,5,83,27,189,62,837,
"Canberra Airport",0,0,17,10,5,28,0,0,3,5,22,100,
"Majura",4,6,23,12,27,37,0,3,6,30,24,175,
"Amaroo",358,177,811,486,593,1214,3,215,130,206,1509,5708,
"Bonner",617,149,1052,534,544,1161,0,162,112,253,2152,6730,
"Casey",389,157,897,560,634,1155,7,136,113,245,1466,5759,
"Crace",599,137,896,353,342,717,0,71,79,177,1084,4456,
"Forde",419,125,755,355,301,755,0,106,63,146,1283,4307,
"Franklin",780,154,1400,454,450,1283,5,127,111,252,1401,6420,
"Gungahlin",560,155,1085,540,494,1388,0,167,146,389,1210,6131,
"Hall",19,14,31,22,42,74,0,10,6,13,54,276,
"Harrison",900,184,1474,589,568,1448,4,166,136,248,1979,7691,
"Mitchell",0,0,0,0,0,6,0,0,0,0,0,3,
"Ngunnawal",612,271,1503,846,1178,2515,4,400,221,524,2405,10486,
"Nicholls",558,228,1128,593,570,1631,0,286,179,381,1309,6862,
"Palmerston",439,167,883,419,534,1348,4,237,132,299,1073,5529,
"Gungahlin - East",0,0,0,0,0,0,0,0,0,0,0,0,
"Gungahlin - West",0,0,0,0,0,0,0,0,0,0,0,0,
"Jacka",68,14,110,49,63,127,0,9,13,18,203,666,
"Kenny",0,0,3,0,0,3,0,0,0,0,0,10,
"Moncrieff",8,0,11,9,9,14,0,0,3,10,31,101,
"Taylor",0,0,0,0,0,0,0,0,0,0,0,0,
"Throsby",0,0,0,0,0,0,0,0,0,0,0,0,
"Acton",219,12,405,22,26,1235,0,4,8,141,13,2086,
"Ainslie",662,264,1100,294,288,960,3,233,90,389,905,5183,
