Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"SA2 by RA"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

"RA","Major Cities of Australia (NSW)","Inner Regional Australia (NSW)","Outer Regional Australia (NSW)","Remote Australia (NSW)","Very Remote Australia (NSW)","Major Cities of Australia (ACT)","Inner Regional Australia (ACT)","Total",
"Beacon Hill - Narraweena",5152,0,0,0,0,0,0,5152,
"Cromer",2837,0,0,0,0,0,0,2837,
"Dee Why - North Curl Curl",10987,0,0,0,0,0,0,10987,
"Forestville - Killarney Heights",4601,0,0,0,0,0,0,4601,
"Frenchs Forest - Belrose",8911,0,0,0,0,0,0,8911,
"Freshwater - Brookvale",8684,0,0,0,0,0,0,8684,
"Manly Vale - Allambie Heights",6296,0,0,0,0,0,0,6296,
"Narrabeen - Collaroy",10080,0,0,0,0,0,0,10080,
"Terrey Hills - Duffys Forest",1251,0,0,0,0,0,0,1251,
"Camden - Ellis Lane",4833,0,0,0,0,0,0,4833,
"Elderslie - Harrington Park",7259,0,0,0,0,0,0,7259,
"Mount Annan - Currans Hill",9834,0,0,0,0,0,0,9834,
"Bradbury - Wedderburn",7180,0,0,0,0,0,0,7180,
"Campbelltown - Woodbine",7371,0,0,0,0,0,0,7371,
"Claymore - Eagle Vale - Raby",7222,0,0,0,0,0,0,7222,
"Holsworthy Military Area",0,0,0,0,0,0,0,0,
"Ingleburn - Denham Court",7519,0,0,0,0,0,0,7519,
"Leumeah - Minto Heights",6502,0,0,0,0,0,0,6502,
"Macquarie Fields - Glenfield",8668,0,0,0,0,0,0,8668,
"Minto - St Andrews",7107,0,0,0,0,0,0,7107,
"Rosemeadow - Glen Alpine",7497,0,0,0,0,0,0,7497,
"Bargo",0,2177,0,0,0,0,0,2177,
"Douglas Park - Appin",413,2908,0,0,0,0,0,3322,
"Picton - Tahmoor - Buxton",0,6305,0,0,0,0,0,6305,
"The Oaks - Oakdale",755,2371,0,0,0,0,0,3123,
"Blackheath - Megalong Valley",0,2678,0,0,0,0,0,2678,
"Blaxland - Warrimoo - Lapstone",7134,0,0,0,0,0,0,7134,
"Blue Mountains - North",0,7,0,0,0,0,0,7,
"Katoomba - Leura",5946,296,0,0,0,0,0,6242,
"Lawson - Hazelbrook - Linden",4599,0,0,0,0,0,0,4599,
"Springwood - Winmalee",8392,0,0,0,0,0,0,8392,
"Wentworth Falls",2650,0,0,0,0,0,0,2650,
"Blue Mountains - South",0,11,0,0,0,0,0,11,
"Cambridge Park",6013,0,0,0,0,0,0,6013,
"Castlereagh - Cranebrook",8512,0,0,0,0,0,0,8512,
"Emu Plains - Leonay",5355,0,0,0,0,0,0,5355,
"Glenmore Park - Regentville",7254,0,0,0,0,0,0,7254,
"Jamisontown - South Penrith",6998,0,0,0,0,0,0,6998,
"Kingswood - Werrington",7779,0,0,0,0,0,0,7779,
"Mulgoa - Luddenham - Orchard Hills",3001,260,0,0,0,0,0,3263,
"Penrith",6232,0,0,0,0,0,0,6232,
"Warragamba - Silverdale",0,1797,0,0,0,0,0,1797,
"Richmond - Clarendon",5619,0,0,0,0,0,0,5619,
"Windsor - Bligh Park",6145,0,0,0,0,0,0,6145,
"Yarramundi - Londonderry",2162,0,0,0,0,0,0,2162,
"Erskine Park",2180,0,0,0,0,0,0,2180,
"St Clair",7070,0,0,0,0,0,0,7070,
"Colyton - Oxley Park",4393,0,0,0,0,0,0,4393,
"St Marys - North St Marys",6633,0,0,0,0,0,0,6633,
"Homebush Bay - Silverwater",7541,0,0,0,0,0,0,7541,
"Rookwood Cemetery",0,0,0,0,0,0,0,0,
"Auburn - Central",5646,0,0,0,0,0,0,5646,
"Auburn - North",4079,0,0,0,0,0,0,4079,
"Auburn - South",2749,0,0,0,0,0,0,2749,
"Berala",3245,0,0,0,0,0,0,3245,
"Lidcombe",7367,0,0,0,0,0,0,7367,
"Regents Park",1849,0,0,0,0,0,0,1849,
"Carlingford",10128,0,0,0,0,0,0,10128,
"Ermington - Rydalmere",7976,0,0,0,0,0,0,7976,
"Oatlands - Dundas Valley",7061,0,0,0,0,0,0,7061,
"Chester Hill - Sefton",6297,0,0,0,0,0,0,6297,
"Fairfield - East",5461,0,0,0,0,0,0,5461,
"Granville - Clyde",7463,0,0,0,0,0,0,7463,
"Greystanes - Pemulwuy",9349,0,0,0,0,0,0,9349,
"Guildford - South Granville",7088,0,0,0,0,0,0,7088,
"Guildford West - Merrylands West",7654,0,0,0,0,0,0,7654,
"Merrylands - Holroyd",10536,0,0,0,0,0,0,10536,
"Smithfield Industrial",0,0,0,0,0,0,0,0,
"Yennora Industrial",0,0,0,0,0,0,0,0,
"North Parramatta",9341,0,0,0,0,0,0,9341,
"North Rocks",2824,0,0,0,0,0,0,2824,
"Northmead",8283,0,0,0,0,0,0,8283,
"Parramatta - Rosehill",12568,0,0,0,0,0,0,12568,
"Toongabbie - Constitution Hill",8454,0,0,0,0,0,0,8454,
"Winston Hills",3822,0,0,0,0,0,0,3822,
"Pendle Hill - Girraween",4742,0,0,0,0,0,0,4742,
"Wentworthville - Westmead",5965,0,0,0,0,0,0,5965,
"Epping - North Epping",10351,0,0,0,0,0,0,10351,
"Pennant Hills - Cheltenham",7447,0,0,0,0,0,0,7447,
"Eastwood - Denistone",9722,0,0,0,0,0,0,9722,
"Gladesville - Huntleys Point",6087,0,0,0,0,0,0,6087,
"Hunters Hill - Woolwich",3592,0,0,0,0,0,0,3592,
"Macquarie Park - Marsfield",9122,0,0,0,0,0,0,9122,
"North Ryde - East Ryde",4546,0,0,0,0,0,0,4546,
"West Ryde - Meadowbank",8420,0,0,0,0,0,0,8420,
"Putney",1503,0,0,0,0,0,0,1503,
"Ryde",11314,0,0,0,0,0,0,11314,
"Ashcroft - Busby - Miller",6334,0,0,0,0,0,0,6334,
"Austral - Greendale",2789,299,0,0,0,0,0,3093,
"Cobbitty - Leppington",6293,0,0,0,0,0,0,6293,
"Badgerys Creek",0,22,0,0,0,0,0,22,
"Cecil Hills",2119,0,0,0,0,0,0,2119,
"Green Valley",4007,0,0,0,0,0,0,4007,
"Hinchinbrook",3877,0,0,0,0,0,0,3877,
"Hoxton Park - Carnes Hill - Horningsea Park",3602,0,0,0,0,0,0,3602,
"West Hoxton - Middleton Grange",4671,0,0,0,0,0,0,4671,
"Bonnyrigg Heights - Bonnyrigg",5336,0,0,0,0,0,0,5336,
"Bossley Park - Abbotsbury",6196,0,0,0,0,0,0,6196,
"Cabramatta - Lansvale",9121,0,0,0,0,0,0,9121,
"Cabramatta West - Mount Pritchard",6055,0,0,0,0,0,0,6055,
"Canley Vale - Canley Heights",7359,0,0,0,0,0,0,7359,
"Edensor Park",3221,0,0,0,0,0,0,3221,
"Fairfield",6481,0,0,0,0,0,0,6481,
"Fairfield - West",6455,0,0,0,0,0,0,6455,
"Greenfield Park - Prairiewood",2754,0,0,0,0,0,0,2754,
"Horsley Park - Kemps Creek",1454,0,0,0,0,0,0,1454,
"Smithfield - Wetherill Park",6465,0,0,0,0,0,0,6465,
"St Johns Park - Wakeley",3645,0,0,0,0,0,0,3645,
"Wetherill Park Industrial",6,0,0,0,0,0,0,6,
"Casula",5437,0,0,0,0,0,0,5437,
"Chipping Norton - Moorebank",6694,0,0,0,0,0,0,6694,
"Holsworthy - Wattle Grove",6878,0,0,0,0,0,0,6878,
"Liverpool",10504,0,0,0,0,0,0,10504,
"Lurnea - Cartwright",4319,0,0,0,0,0,0,4319,
"Prestons - Edmondson Park",5411,0,0,0,0,0,0,5411,
"Warwick Farm",2642,0,0,0,0,0,0,2642,
"Gymea - Grays Point",6579,0,0,0,0,0,0,6579,
"Miranda - Yowie Bay",7356,0,0,0,0,0,0,7356,
"Sylvania - Taren Point",6238,0,0,0,0,0,0,6238,
"Caringbah",5267,0,0,0,0,0,0,5267,
"Caringbah South",4438,0,0,0,0,0,0,4438,
"Cronulla - Kurnell - Bundeena",9782,991,0,0,0,0,0,10779,
"Lilli Pilli - Port Hacking - Dolans Bay",1063,0,0,0,0,0,0,1063,
"Woolaware - Burraneer",2857,0,0,0,0,0,0,2857,
"Heathcote - Waterfall",2239,186,0,0,0,0,0,2422,
"Illawong - Alfords Point",3555,0,0,0,0,0,0,3555,
"Menai - Lucas Heights - Woronora",7304,0,0,0,0,0,0,7304,
"Oyster Bay - Como - Jannali",7659,0,0,0,0,0,0,7659,
"Royal National Park",0,12,0,0,0,0,0,12,
"Sutherland - Kirrawee",8962,0,0,0,0,0,0,8962,
"Engadine",6122,0,0,0,0,0,0,6122,
"Loftus - Yarrawarrah",2611,0,0,0,0,0,0,2611,
"Woronora Heights",1200,0,0,0,0,0,0,1200,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,0,0,0,
"Aranda",0,0,0,0,0,941,0,941,
"Belconnen",0,0,0,0,0,3215,0,3215,
"Bruce",0,0,0,0,0,2743,0,2743,
"Charnwood",0,0,0,0,0,1274,0,1274,
"Cook",0,0,0,0,0,1266,0,1266,
"Dunlop",0,0,0,0,0,2600,0,2600,
"Evatt",0,0,0,0,0,2089,0,2089,
"Florey",0,0,0,0,0,1998,0,1998,
"Flynn (ACT)",0,0,0,0,0,1266,0,1266,
"Fraser",0,0,0,0,0,766,0,766,
"Giralang",0,0,0,0,0,1298,0,1298,
"Gooromon",0,0,0,0,0,4,0,4,
"Hawker",0,0,0,0,0,1235,0,1235,
"Higgins",0,0,0,0,0,1234,0,1234,
"Holt",0,0,0,0,0,2140,0,2140,
"Kaleen",0,0,0,0,0,2799,0,2799,
"Latham",0,0,0,0,0,1468,0,1468,
"Lawson",0,0,0,0,0,50,0,50,
"Macgregor (ACT)",0,0,0,0,0,2665,0,2665,
"Macquarie",0,0,0,0,0,1178,0,1178,
"McKellar",0,0,0,0,0,1055,0,1055,
"Melba",0,0,0,0,0,1252,0,1252,
"Page",0,0,0,0,0,1295,0,1295,
"Scullin",0,0,0,0,0,1240,0,1240,
"Spence",0,0,0,0,0,998,0,998,
"Weetangera",0,0,0,0,0,961,0,961,
"Molonglo Corridor",0,0,0,0,0,3,0,3,
"West Belconnen",0,0,0,0,0,0,0,0,
"Hume",0,0,0,0,0,0,0,0,
"Kowen",0,0,0,0,0,0,11,11,
"Canberra East",0,0,0,0,0,528,0,528,
"Canberra Airport",0,0,0,0,0,50,0,50,
"Majura",0,0,0,0,0,70,0,70,
"Amaroo",0,0,0,0,0,1992,0,1992,
"Bonner",0,0,0,0,0,2280,0,2280,
"Casey",0,0,0,0,0,2234,0,2234,
"Crace",0,0,0,0,0,1757,0,1757,
"Forde",0,0,0,0,0,1481,0,1481,
"Franklin",0,0,0,0,0,2562,0,2562,
"Gungahlin",0,0,0,0,0,2463,0,2463,
"Hall",0,0,0,0,0,111,0,111,
"Harrison",0,0,0,0,0,2891,0,2891,
"Mitchell",0,0,0,0,0,0,0,0,
"Ngunnawal",0,0,0,0,0,4184,0,4184,
"Nicholls",0,0,0,0,0,2446,0,2446,
"Palmerston",0,0,0,0,0,2200,0,2200,
"Gungahlin - East",0,0,0,0,0,0,0,0,
"Gungahlin - West",0,0,0,0,0,0,0,0,
"Jacka",0,0,0,0,0,253,0,253,
"Kenny",0,0,0,0,0,3,0,3,
"Moncrieff",0,0,0,0,0,30,0,30,
"Taylor",0,0,0,0,0,0,0,0,
"Throsby",0,0,0,0,0,0,0,0,
"Acton",0,0,0,0,0,10,0,10,
"Ainslie",0,0,0,0,0,2199,0,2199,
"Braddon",0,0,0,0,0,2874,0,2874,
"Civic",0,0,0,0,0,1453,0,1453,
"Dickson",0,0,0,0,0,999,0,999,
"Downer",0,0,0,0,0,1551,0,1551,
"Hackett",0,0,0,0,0,1242,0,1242,
"Lyneham",0,0,0,0,0,2501,0,2501,
"O'Connor (ACT)",0,0,0,0,0,2355,0,2355,
"Turner",0,0,0,0,0,2139,0,2139,
"Watson",0,0,0,0,0,2570,0,2570,
"Black Mountain",0,0,0,0,0,0,0,0,
"Campbell",0,0,0,0,0,1335,0,1335,
"Duntroon",0,0,0,0,0,154,0,154,
"Parkes (ACT) - North",0,0,0,0,0,0,0,0,
"Reid",0,0,0,0,0,886,0,886,
"Russell",0,0,0,0,0,0,0,0,
"Deakin",0,0,0,0,0,1209,0,1209,
"Forrest",0,0,0,0,0,731,0,731,
"Griffith (ACT)",0,0,0,0,0,2120,0,2120,
"Lake Burley Griffin",0,0,0,0,0,0,0,0,
"Narrabundah",0,0,0,0,0,2509,0,2509,
"Parkes (ACT) - South",0,0,0,0,0,4,0,4,
"Red Hill (ACT)",0,0,0,0,0,1195,0,1195,
"Yarralumla",0,0,0,0,0,1256,0,1256,
"Barton",0,0,0,0,0,789,0,789,
"Fyshwick",0,0,0,0,0,10,0,10,
"Kingston (ACT)",0,0,0,0,0,2472,0,2472,
"Banks",0,0,0,0,0,1872,0,1872,
"Bonython",0,0,0,0,0,1564,0,1564,
"Calwell",0,0,0,0,0,2148,0,2148,
"Chisholm",0,0,0,0,0,2007,0,2007,
"Conder",0,0,0,0,0,1883,0,1883,
"Fadden",0,0,0,0,0,1109,0,1109,
"Gilmore",0,0,0,0,0,1040,0,1040,
"Gordon (ACT)",0,0,0,0,0,2997,0,2997,
"Gowrie (ACT)",0,0,0,0,0,1161,0,1161,
"Greenway",0,0,0,0,0,963,0,963,
"Isabella Plains",0,0,0,0,0,1752,0,1752,
"Kambah",0,0,0,0,0,6056,0,6056,
"Macarthur",0,0,0,0,0,514,0,514,
"Monash",0,0,0,0,0,2208,0,2208,
"Mount Taylor",0,0,0,0,0,4,0,4,
"Oxley (ACT)",0,0,0,0,0,654,0,654,
"Richardson",0,0,0,0,0,1192,0,1192,
"Theodore",0,0,0,0,0,1442,0,1442,
"Tuggeranong",0,0,0,0,0,0,11,11,
"Wanniassa",0,0,0,0,0,3043,0,3043,
"Tuggeranong - West",0,0,0,0,0,4,0,4,
"Chapman",0,0,0,0,0,1001,0,1001,
"Duffy",0,0,0,0,0,1243,0,1243,
"Fisher",0,0,0,0,0,1242,0,1242,
"Holder",0,0,0,0,0,1124,0,1124,
"Rivett",0,0,0,0,0,1343,0,1343,
"Stirling",0,0,0,0,0,828,0,828,
"Waramanga",0,0,0,0,0,1117,0,1117,
"Weston",0,0,0,0,0,1405,0,1405,
"Scrivener",0,0,0,0,0,0,0,0,
"Chifley",0,0,0,0,0,1081,0,1081,
"Curtin",0,0,0,0,0,2079,0,2079,
"Farrer",0,0,0,0,0,1240,0,1240,
"Garran",0,0,0,0,0,1304,0,1304,
"Hughes",0,0,0,0,0,1179,0,1179,
"Isaacs",0,0,0,0,0,963,0,963,
"Lyons (ACT)",0,0,0,0,0,1482,0,1482,
"Mawson",0,0,0,0,0,1435,0,1435,
"O'Malley",0,0,0,0,0,362,0,362,
"Pearce",0,0,0,0,0,1109,0,1109,
"Phillip",0,0,0,0,0,1639,0,1639,
"Torrens",0,0,0,0,0,860,0,860,
"Arboretum",0,0,0,0,0,0,0,0,
"Coombs",0,0,0,0,0,715,0,715,
"Denman Prospect",0,0,0,0,0,0,0,0,
"Molonglo",0,0,0,0,0,3,0,3,
"Molonglo - North",0,0,0,0,0,0,0,0,
"Wright",0,0,0,0,0,1281,0,1281,
"ACT - South West",0,0,0,0,0,0,195,195,
"Namadgi",0,0,0,0,0,0,18,18,
"Migratory - Offshore - Shipping (ACT)",0,0,0,0,0,0,0,0,
"Total",2205349,604135,191773,13234,2665,160790,234,3178179,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
