Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by SLPP Sex of Lone Parent"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"SLPP Sex of Lone Parent","Male lone parent","Female lone parent","Not applicable","Total",
"Macquarie",26,99,2573,2703,
"McKellar",19,84,2642,2749,
"Melba",26,98,3023,3148,
"Page",15,99,2912,3023,
"Scullin",35,104,2795,2931,
"Spence",22,96,2467,2584,
"Weetangera",15,46,2520,2575,
"Molonglo Corridor",0,0,14,14,
"West Belconnen",0,0,16,16,
"Hume",0,0,424,424,
"Kowen",0,0,37,39,
"Canberra East",10,19,813,837,
"Canberra Airport",0,4,100,100,
"Majura",0,0,169,175,
"Amaroo",30,169,5513,5708,
"Bonner",28,153,6539,6730,
"Casey",39,166,5551,5759,
"Crace",16,69,4371,4456,
"Forde",23,77,4208,4307,
"Franklin",33,109,6272,6420,
"Gungahlin",34,138,5969,6131,
"Hall",0,5,267,276,
"Harrison",43,168,7479,7691,
"Mitchell",0,0,3,3,
"Ngunnawal",75,378,10032,10486,
"Nicholls",40,143,6680,6862,
"Palmerston",46,171,5309,5529,
"Gungahlin - East",0,0,0,0,
"Gungahlin - West",0,0,0,0,
"Jacka",10,20,640,666,
"Kenny",0,0,10,10,
"Moncrieff",0,0,100,101,
"Taylor",0,0,0,0,
"Throsby",0,0,0,0,
"Acton",0,0,2086,2086,
"Ainslie",33,155,4994,5183,
"Braddon",12,61,5429,5500,
"Civic",12,23,4237,4275,
"Dickson",13,53,2090,2148,
"Downer",40,108,3516,3660,
"Hackett",26,82,2890,2996,
"Lyneham",30,131,4951,5114,
"O'Connor (ACT)",38,129,5315,5477,
"Turner",20,55,3974,4049,
"Watson",36,185,5647,5865,
"Black Mountain",0,0,0,0,
"Campbell",16,46,3162,3220,
"Duntroon",3,0,1771,1774,
"Parkes (ACT) - North",0,0,0,0,
"Reid",17,31,1590,1640,
"Russell",0,0,0,0,
"Deakin",23,68,2791,2874,
"Forrest",7,29,1579,1609,
"Griffith (ACT)",28,94,4445,4576,
"Lake Burley Griffin",0,0,0,0,
"Narrabundah",55,221,5688,5956,
"Parkes (ACT) - South",0,0,4,4,
"Red Hill (ACT)",28,74,3068,3169,
"Yarralumla",15,71,2800,2888,
"Barton",7,11,1416,1436,
"Fyshwick",5,0,50,54,
"Kingston (ACT)",26,71,4333,4425,
"Banks",45,191,4738,4967,
"Bonython",41,173,3570,3783,
"Calwell",51,185,5524,5761,
"Chisholm",41,208,4870,5118,
"Conder",33,179,4848,5059,
"Fadden",18,62,2873,2953,
"Gilmore",17,102,2620,2751,
"Gordon (ACT)",56,336,7216,7610,
"Gowrie (ACT)",34,113,2905,3055,
"Greenway",20,66,1799,1892,
"Isabella Plains",38,160,4208,4403,
"Kambah",155,544,14202,14900,
"Macarthur",8,35,1383,1426,
"Monash",47,191,5191,5428,
"Mount Taylor",0,0,0,0,
"Oxley (ACT)",19,74,1603,1697,
"Richardson",40,153,2813,3008,
"Theodore",42,158,3607,3799,
"Tuggeranong",0,0,22,22,
"Wanniassa",70,270,7176,7511,
"Tuggeranong - West",0,0,12,12,
"Chapman",17,44,2633,2687,
"Duffy",24,105,3028,3162,
"Fisher",29,95,2883,3000,
"Holder",29,83,2493,2604,
"Rivett",29,127,3035,3190,
"Stirling",14,70,2049,2134,
"Waramanga",20,75,2531,2627,
"Weston",25,101,3450,3580,
"Scrivener",0,0,4,4,
"Chifley",27,84,2300,2407,
"Curtin",25,141,5066,5234,
"Farrer",21,97,3111,3224,
"Garran",8,71,3422,3499,
"Hughes",13,81,2895,2993,
"Isaacs",13,63,2268,2345,
"Lyons (ACT)",21,84,2981,3089,
"Mawson",24,79,3147,3254,
"O'Malley",3,15,973,990,
"Pearce",14,73,2495,2582,
"Phillip",14,62,2859,2935,
"Torrens",15,61,2131,2206,
"Arboretum",0,0,10,10,
"Coombs",12,41,1758,1810,
"Denman Prospect",0,0,0,0,
"Molonglo",0,0,0,0,
"Molonglo - North",0,0,5,5,
"Wright",8,56,2694,2755,
"ACT - South West",0,15,546,561,
"Namadgi",0,0,41,41,
"Migratory - Offshore - Shipping (ACT)",0,0,0,0,
"No Usual Address (ACT)",0,0,541,541,
"Total",58105,266937,7552593,7877622,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
