Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by BPLP Country of Birth of Person"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"BPLP Country of Birth of Person","COB_overseas","COB_aust","Total",
"Lyneham",2014,3104,5114,
"O'Connor (ACT)",1641,3838,5477,
"Turner",1835,2218,4049,
"Watson",1896,3966,5865,
"Black Mountain",0,0,0,
"Campbell",948,2274,3220,
"Duntroon",375,1398,1774,
"Parkes (ACT) - North",4,0,0,
"Reid",665,974,1640,
"Russell",0,0,0,
"Deakin",853,2031,2874,
"Forrest",520,1094,1609,
"Griffith (ACT)",1575,2998,4576,
"Lake Burley Griffin",0,0,0,
"Narrabundah",2071,3884,5956,
"Parkes (ACT) - South",4,0,4,
"Red Hill (ACT)",1077,2095,3169,
"Yarralumla",907,1984,2888,
"Barton",504,932,1436,
"Fyshwick",10,44,54,
"Kingston (ACT)",1458,2966,4425,
"Banks",1024,3943,4967,
"Bonython",1033,2749,3783,
"Calwell",1258,4503,5761,
"Chisholm",1070,4049,5118,
"Conder",1132,3924,5059,
"Fadden",749,2203,2953,
"Gilmore",611,2136,2751,
"Gordon (ACT)",1813,5799,7610,
"Gowrie (ACT)",729,2329,3055,
"Greenway",810,1083,1892,
"Isabella Plains",1123,3280,4403,
"Kambah",3600,11301,14900,
"Macarthur",298,1123,1426,
"Monash",1642,3791,5428,
"Mount Taylor",0,0,0,
"Oxley (ACT)",424,1268,1697,
"Richardson",731,2278,3008,
"Theodore",759,3045,3799,
"Tuggeranong",7,18,22,
"Wanniassa",1962,5556,7511,
"Tuggeranong - West",0,10,12,
"Chapman",656,2031,2687,
"Duffy",693,2465,3162,
"Fisher",752,2253,3000,
"Holder",663,1939,2604,
"Rivett",818,2375,3190,
"Stirling",642,1492,2134,
"Waramanga",703,1921,2627,
"Weston",1133,2446,3580,
"Scrivener",0,0,4,
"Chifley",767,1637,2407,
"Curtin",1449,3786,5234,
"Farrer",893,2331,3224,
"Garran",1462,2037,3499,
"Hughes",935,2058,2993,
"Isaacs",936,1406,2345,
"Lyons (ACT)",1254,1837,3089,
"Mawson",1275,1980,3254,
"O'Malley",480,508,990,
"Pearce",744,1839,2582,
"Phillip",1644,1290,2935,
"Torrens",605,1601,2206,
"Arboretum",6,5,10,
"Coombs",778,1037,1810,
"Denman Prospect",0,0,0,
"Molonglo",0,0,0,
"Molonglo - North",3,5,5,
"Wright",1011,1744,2755,
"ACT - South West",114,446,561,
"Namadgi",6,30,41,
"Migratory - Offshore - Shipping (ACT)",0,0,0,
"No Usual Address (ACT)",190,349,541,
"Total",2708383,5169242,7877622,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
